Date,ADS Index,Previous ADS Index,ADS_Change,EPU Index,Previous EPU Index,EPU_Change,Price,Previous Week Price,% FTSE100 Change,Previous Week % FTSE100 Change,Next Week % FTSE100 Change,MSCI Previous Week Price,Previous Week % MSCI Change,% MSCI Change,Close,Vix Close,SWAV,SWAV_lagged,Change in SWAV,Stringency_Change,Covid_Stringency,Last_Week_Covid_Stringency,Cloud_Cover,7D_Rolling_Avg_Cloud_Cover,DCC,Previous_Day_DCC,Change_in_DCC,7D_Rolling_Avg_Change_in_DCC,% FTSE250 Change,Previous Week % FTSE250 Change,% FTSEAllShare Change,Previous Week % FTSEAllShare Change,% FTSESmallCap Change,Previous Week % FTSESmallCap Change,% MSCIUK Change,Previous Week % MSCIUK Change,Month,% GILT2 Change,Previous Week % GILT2 Change,Next Week % GILT2 Change,% FTSEAIM Change,Previous Week % FTSEAIM Change,Next Week % FTSEAIM Change,TED
2021-04-22,0.714039,1.05433,-0.340291,207.93,248.62,-40.69,6938.24,6890.49,0.69,2.63,-0.22,2918.19,3.79,0.2,18.71,18.71,0.5298818390643502,0.5240313905243053,0.0058504485400449,0.0,10.0,10.0,14.0,42.24285714285715,-28.242857142857147,3.471428571428568,-31.714285714285715,-7.471428571428572,0.43,3.48,0.65,2.83,0.89,3.86,0.75,1.11,4.0,27.03,-22.92,78.72,1.45,3.99,-0.16,0.15
2021-04-23,0.689151,1.00711,-0.317959,176.63,141.03,35.599999999999994,6938.56,6939.58,-0.01,3.0,1.45,2913.53,2.58,1.12,17.33,17.33,0.5396119760806332,0.5237898186305464,0.0158221574500867,0.0,10.0,10.0,18.9,39.01428571428572,-20.11428571428572,-28.242857142857147,8.128571428571426,-1.0367346938775523,0.08,2.87,0.01,3.0,0.32,3.64,0.62,0.5,4.0,-4.26,-9.62,86.67,1.75,2.85,-0.36,0.15
2021-04-26,0.62751,0.962121,-0.334611,177.96,169.08,8.879999999999995,6963.12,6983.5,-0.29,2.34,1.62,2941.75,2.28,0.49,17.64,17.64,0.5226145197611984,0.5221629272725191,0.0004515924886793,0.0,10.0,10.0,71.2,47.94285714285714,23.25714285714286,-20.11428571428572,43.37142857142858,9.06530612244898,0.47,2.17,-0.13,2.33,0.56,2.92,0.12,2.29,4.0,41.03,-30.36,33.64,2.18,2.02,-1.78,0.15
2021-04-27,0.607385,0.919357,-0.311972,289.12,131.0,158.12,6944.97,7019.53,-1.06,1.95,2.66,2953.35,2.51,-0.05,17.56,17.56,0.5215938018238664,0.5339442877869629,-0.0123504859630965,0.0,10.0,10.0,83.4,50.07142857142858,33.32857142857143,23.25714285714286,10.07142857142857,1.8244897959183677,-0.4,1.63,-0.9,1.91,0.11,2.57,-0.55,2.5,4.0,97.14,-28.57,-30.43,1.78,1.98,-1.1,0.17
2021-04-28,0.586973,0.804784,-0.2178110000000001,166.97,168.48,-1.509999999999991,6963.67,7000.08,-0.52,0.83,2.3,2944.05,1.67,0.27,17.28,17.28,0.5228651091156763,0.5277613042428791,-0.0048961951272028,0.0,10.0,10.0,63.7,55.457142857142856,8.242857142857147,33.32857142857143,-25.08571428571428,2.802040816326532,-0.23,1.09,-0.43,0.9,0.57,1.45,-0.7,2.55,4.0,42.22,-29.69,-12.5,1.77,1.03,-1.26,0.18
2021-04-29,0.566265,0.771845,-0.2055799999999999,311.45,151.53,159.92,6961.48,6859.87,1.48,-0.81,-0.19,2915.78,0.2,1.63,17.61,17.61,0.5233489392804482,0.526815344372175,-0.0034664050917267,0.0,10.0,10.0,50.6,50.98571428571429,-0.3857142857142861,8.242857142857147,-8.628571428571433,-5.146938775510205,1.29,-0.64,1.45,-0.75,1.7,0.16,1.42,0.9,4.0,78.72,27.03,-51.19,2.93,0.11,-3.02,0.17
2021-04-30,0.545252,0.741601,-0.196349,143.31,192.14,-48.829999999999984,6969.81,6895.29,1.08,0.09,0.5,2932.98,0.89,0.2,18.61,18.61,0.5310833234875134,0.5225941101624413,0.0084892133250721,0.0,10.0,10.0,72.8,53.51428571428572,19.28571428571428,-0.3857142857142861,19.671428571428564,2.259183673469387,1.86,-0.31,1.22,0.04,1.25,0.83,-0.37,1.97,4.0,86.67,-4.26,-53.57,3.14,0.89,-4.06,0.17
2021-05-04,0.462819,0.714039,-0.25122,228.22,207.93,20.289999999999992,6923.17,6938.24,-0.22,0.69,0.58,2923.91,0.2,-0.05,19.48,19.48,0.5183535388714913,0.5298818390643502,-0.0115283001928588,0.0,10.0,10.0,99.4,65.71428571428571,33.6857142857143,19.28571428571428,14.40000000000002,8.846938775510207,-0.16,0.43,-0.21,0.65,-0.3,0.89,0.62,0.62,5.0,-30.43,97.14,43.75,-0.16,1.45,-2.92,0.16
2021-05-05,0.444817,0.689151,-0.2443339999999999,280.22,176.63,103.59000000000005,7039.3,6938.56,1.45,-0.01,0.06,2946.11,1.12,-0.45,19.15,19.15,0.5228107864427285,0.5396119760806332,-0.0168011896379046,0.0,10.0,10.0,39.4,68.64285714285714,-29.24285714285714,33.6857142857143,-62.92857142857144,-1.30408163265306,0.06,0.08,1.17,0.01,0.38,0.32,1.62,0.12,5.0,-12.5,42.22,94.64,-0.36,1.75,-1.96,0.15
2021-05-06,0.427987,0.62751,-0.199523,203.56,177.96,25.599999999999994,7076.17,6963.12,1.62,-0.29,-0.61,2956.13,0.49,-0.14,18.39,18.39,0.5252596195614966,0.5226145197611984,0.0026450998002981,0.0,10.0,10.0,94.0,71.9,22.099999999999994,-29.24285714285714,51.342857142857135,-0.1653061224489807,-0.38,0.47,1.22,-0.13,0.18,0.56,2.45,-0.55,5.0,-51.19,78.72,153.66,-1.78,2.18,-1.48,0.14
2021-05-07,0.412323,0.607385,-0.1950619999999999,205.4,289.12,-83.72,7129.71,6944.97,2.66,-1.06,-1.34,2952.01,-0.05,0.93,16.69,16.69,0.5273506527385229,0.5215938018238664,0.0057568509146564,0.0,10.0,10.0,49.9,67.11428571428571,-17.214285714285715,22.099999999999994,-39.31428571428571,-7.220408163265306,1.53,-0.4,2.41,-0.9,1.22,0.11,3.32,-0.7,5.0,-53.57,86.67,112.82,-1.1,1.78,-1.81,0.14
2021-05-10,0.372051,0.586973,-0.2149219999999999,296.73,166.97,129.76000000000002,7123.68,6963.67,2.3,-0.52,-2.44,2951.88,0.27,0.33,19.66,19.66,0.5223841042220508,0.5228651091156763,-0.0004810048936254,0.0,10.0,10.0,62.0,66.87142857142858,-4.871428571428581,-17.214285714285715,12.342857142857136,-1.873469387755104,1.15,-0.23,2.05,-0.43,0.88,0.57,3.23,1.42,5.0,-45.58,33.64,110.0,-1.26,1.77,-2.3,0.15
2021-05-11,0.36056,0.566265,-0.205705,321.58,311.45,10.129999999999995,6947.99,6961.48,-0.19,1.48,1.03,2963.31,1.63,-1.18,21.84,21.84,0.5269669608282666,0.5233489392804482,0.0036180215478183,0.0,10.0,10.0,74.7,70.31428571428572,4.385714285714286,-4.871428571428581,9.257142857142869,0.6816326530612246,-1.01,1.29,-0.35,1.45,-0.66,1.7,2.71,-0.37,5.0,43.75,-30.43,28.99,-3.02,2.93,0.82,0.15
2021-05-12,0.349991,0.545252,-0.1952609999999999,150.34,143.31,7.030000000000001,7004.63,6969.81,0.5,1.08,0.19,2938.76,0.2,-2.11,27.59,27.59,0.5273394888734333,0.5310833234875134,-0.0037438346140801,0.0,10.0,10.0,56.2,67.94285714285714,-11.742857142857131,4.385714285714286,-16.12857142857142,-4.432653061224487,-1.73,1.86,0.07,1.22,-0.35,1.25,0.94,2.29,5.0,94.64,-12.5,-29.36,-4.06,3.14,1.36,0.13
2021-05-13,0.340342,0.462819,-0.122477,170.19,228.22,-58.03,6963.33,6923.17,0.58,-0.22,1.27,2922.5,-0.05,-1.03,23.13,23.13,0.5256758663194927,0.5183535388714913,0.0073223274480014,0.0,10.0,10.0,84.5,65.81428571428572,18.685714285714283,-11.742857142857131,30.428571428571416,-2.142857142857145,-1.17,-0.16,0.24,-0.21,-0.42,-0.3,2.11,0.62,5.0,153.66,-51.19,-45.19,-2.92,-0.16,2.02,0.14
2021-05-14,0.331608,0.444817,-0.113209,151.72,280.22,-128.50000000000003,7043.61,7039.3,0.06,1.45,-0.2,2932.84,-0.45,0.2,18.81,18.81,0.4926397320573124,0.5228107864427285,-0.0301710543854161,0.0,10.0,10.0,93.4,73.52857142857144,19.871428571428567,18.685714285714283,1.1857142857142833,7.016326530612244,-0.22,0.06,0.01,1.17,0.14,0.38,2.02,1.62,5.0,112.82,-53.57,-40.96,-1.96,-0.36,1.03,0.15
2021-05-17,0.31087,0.427987,-0.117117,318.45,203.56,114.89,7032.85,7076.17,-0.61,1.62,-0.08,2952.03,-0.14,-0.6,19.72,19.72,0.5036225267067233,0.5252596195614966,-0.0216370928547733,0.0,10.0,10.0,64.2,69.27142857142857,-5.071428571428569,19.871428571428567,-24.942857142857136,-3.881632653061224,-1.23,-0.38,-0.72,1.22,-0.7,0.18,1.62,2.45,5.0,110.0,-45.58,-57.14,-1.48,-1.78,1.49,0.13
2021-05-18,0.305781,0.412323,-0.1065419999999999,215.17,205.4,9.769999999999982,7034.24,7129.71,-1.34,2.66,-0.21,2979.41,0.93,-1.7,21.34,21.34,0.5092328119218146,0.5273506527385229,-0.0181178408167083,0.0,10.0,10.0,42.7,68.24285714285715,-25.542857142857144,-5.071428571428569,-20.47142857142857,-1.189795918367347,-1.94,1.53,-1.44,2.41,-1.21,1.22,-0.21,3.32,5.0,28.99,43.75,-69.66,-1.81,-1.1,0.87,0.14
2021-05-19,0.301602,0.372051,-0.070449,248.3,296.73,-48.43000000000001,6950.2,7123.68,-2.44,2.3,1.04,2961.57,0.33,-1.71,22.18,22.18,0.5168382175674974,0.5223841042220508,-0.0055458866545534,0.0,10.0,10.0,30.6,63.75714285714286,-33.15714285714286,-25.542857142857144,-7.614285714285714,-4.040816326530611,-2.04,1.15,-2.33,2.05,-1.37,0.88,-1.21,3.23,5.0,-29.36,94.64,-67.53,-2.3,-1.26,2.21,0.14
2021-05-20,0.29833,0.36056,-0.06223,280.7,321.58,-40.88,7019.79,6947.99,1.03,-0.19,0.86,2928.33,-1.18,0.47,20.67,20.67,0.5152750189707095,0.5269669608282666,-0.011691941857557,0.0,10.0,10.0,97.0,66.94285714285715,30.05714285714285,-33.15714285714286,63.21428571428571,3.667346938775509,1.01,-1.01,1.01,-0.35,0.5,-0.66,1.56,2.71,5.0,-45.19,153.66,-1.75,0.82,-3.02,1.04,0.14
2021-05-21,0.295965,0.349991,-0.054026,174.26,150.34,23.919999999999987,7018.05,7004.63,0.19,0.5,1.28,2876.79,-2.11,2.31,20.15,20.15,0.5007986560025569,0.5273394888734333,-0.0265408328708763,0.0,10.0,10.0,93.6,72.28571428571429,21.314285714285703,30.05714285714285,-8.742857142857147,4.722448979591833,1.32,-1.73,0.4,0.07,0.42,-0.35,1.47,0.94,5.0,-40.96,112.82,34.69,1.36,-4.06,0.56,0.14
2021-05-24,0.29481,0.340342,-0.0455319999999999,277.12,170.19,106.93,7051.59,6963.33,1.27,0.58,0.18,2892.48,-1.03,2.56,18.4,18.4,0.491480110151422,0.5256758663194927,-0.0341957561680706,0.0,10.0,10.0,53.9,67.91428571428573,-14.014285714285728,21.314285714285703,-35.32857142857143,-4.671428571428573,1.88,-1.17,1.39,0.24,1.76,-0.42,1.77,2.11,5.0,-57.14,110.0,50.0,2.02,-2.92,0.09,0.12
2021-05-25,0.29708,0.331608,-0.034528,244.13,151.72,92.41,7029.79,7043.61,-0.2,0.06,0.56,2938.63,0.2,0.91,18.84,18.84,0.491488544162154,0.4926397320573124,-0.0011511878951583,0.0,10.0,10.0,83.5,66.5,17.0,-14.014285714285728,31.014285714285727,-0.4102040816326524,0.46,-0.22,-0.06,0.01,0.58,0.14,-0.38,2.02,5.0,-69.66,28.99,203.7,1.03,-1.96,0.64,0.12
2021-05-26,0.300763,0.31087,-0.0101069999999999,120.84,318.45,-197.61,7026.93,7032.85,-0.08,-0.61,0.72,2934.18,-0.6,1.2,17.36,17.36,0.4940951659261587,0.5036225267067233,-0.0095273607805644,0.0,10.0,10.0,88.4,69.95714285714287,18.442857142857136,17.0,1.442857142857136,3.3591836734693863,1.92,-1.23,0.32,-0.72,1.58,-0.7,-0.82,1.62,5.0,-67.53,-29.36,160.0,1.49,-1.48,0.37,0.12
2021-05-27,0.305861,0.305781,7.999999999996898e-05,146.39,215.17,-68.78,7019.67,7034.24,-0.21,-1.34,1.07,2928.68,-1.7,1.43,16.74,16.74,0.5081490380297523,0.5092328119218146,-0.0010837738920622,0.0,10.0,10.0,78.6,75.08571428571429,3.5142857142857054,18.442857142857136,-14.92857142857143,4.151020408163264,1.46,-1.94,0.15,-1.44,1.66,-1.21,0.18,-0.21,5.0,-1.75,-45.19,73.21,0.87,-1.81,0.59,0.11
2021-05-28,0.312375,0.301602,0.010773,274.46,248.3,26.159999999999968,7022.61,6950.2,1.04,-2.44,0.83,2910.94,-1.71,2.35,16.76,16.76,0.5241626623995336,0.5168382175674974,0.0073244448320362,0.0,10.0,10.0,94.4,84.2,10.200000000000005,3.5142857142857054,6.6857142857142975,6.1938775510204085,2.02,-2.04,1.26,-2.33,2.4,-1.37,0.84,-1.21,5.0,34.69,-40.96,1.52,2.21,-2.3,-0.52,0.12
2021-06-01,0.353571,0.29833,0.055241,249.78,280.7,-30.919999999999987,7080.46,7019.79,0.86,1.03,0.11,2942.21,0.47,1.35,17.9,17.9,0.5348322715988881,0.5152750189707095,0.0195572526281786,0.0,10.0,10.0,54.1,78.07142857142857,-23.971428571428568,10.200000000000005,-34.17142857142857,-7.718367346938774,2.16,1.01,1.15,1.01,2.55,0.5,0.32,1.56,6.0,203.7,-69.66,-8.54,1.04,0.82,-0.97,0.11
2021-06-02,0.366431,0.295965,0.070466,146.39,174.26,-27.870000000000005,7108.0,7018.05,1.28,0.19,0.37,2943.13,2.31,1.46,17.48,17.48,0.5305615400724163,0.5007986560025569,0.0297628840698593,0.0,10.0,10.0,23.2,68.0142857142857,-44.8142857142857,-23.971428571428568,-20.84285714285713,-9.4469387755102,2.38,1.32,1.52,0.4,2.66,0.42,1.18,1.47,6.0,160.0,-67.53,-1.54,0.56,1.36,-0.53,0.11
2021-06-03,0.379336,0.29481,0.0845259999999999,207.29,277.12,-69.83000000000001,7064.35,7051.59,0.18,1.27,1.17,2966.44,2.56,0.22,18.04,18.04,0.5227786338135327,0.491480110151422,0.0312985236621107,0.0,10.0,10.0,90.1,73.18571428571428,16.91428571428571,-44.8142857142857,61.72857142857141,4.418367346938777,1.42,1.88,0.45,1.39,1.61,1.76,-0.09,1.77,6.0,73.21,-1.75,-29.9,0.09,2.02,0.03,0.11
2021-06-04,0.392291,0.29708,0.0952109999999999,132.43,244.13,-111.7,7069.04,7029.79,0.56,-0.2,1.46,2965.51,0.91,1.07,16.42,16.42,0.5235672801772864,0.491488544162154,0.0320787360151323,0.0,10.0,10.0,58.7,69.64285714285714,-10.942857142857136,16.91428571428571,-27.857142857142847,-3.991836734693877,1.76,0.46,0.81,-0.06,1.86,0.58,1.19,-0.38,6.0,1.52,34.69,-10.45,0.64,1.03,-1.03,0.11
2021-06-07,0.432178,0.300763,0.131415,210.87,120.84,90.03,7077.22,7026.93,0.72,-0.08,1.52,2969.51,1.2,1.06,16.42,16.42,0.5201365693394169,0.4940951659261587,0.0260414034132581,-1.0,9.0,10.0,70.2,67.04285714285714,3.1571428571428584,-10.942857142857136,14.099999999999994,-2.1836734693877538,1.18,1.92,0.83,0.32,1.59,1.58,1.28,-0.82,6.0,72.22,50.0,-19.35,0.37,1.49,-1.0,0.1
2021-06-08,0.446731,0.305861,0.14087,200.0,146.39,53.610000000000014,7095.09,7019.67,1.07,-0.21,0.82,2970.64,1.43,1.05,17.07,17.07,0.5306301491020076,0.5081490380297523,0.0224811110722552,-1.0,9.0,10.0,83.9,67.8,16.10000000000001,3.1571428571428584,12.94285714285715,1.797959183673472,1.04,1.46,1.07,0.15,1.2,1.66,0.89,0.18,6.0,-8.54,203.7,10.67,0.59,0.87,-1.31,0.11
2021-06-09,0.462035,0.312375,0.1496599999999999,305.73,274.46,31.27000000000004,7081.01,7022.61,0.83,1.04,-0.9,2979.3,2.35,0.58,17.89,17.89,0.5304988654767596,0.5241626623995336,0.006336203077226,-1.0,9.0,10.0,94.8,67.85714285714286,26.942857142857136,16.10000000000001,10.842857142857127,2.391836734693876,0.33,2.02,0.73,1.26,0.47,2.4,0.47,0.84,6.0,-1.54,160.0,26.56,-0.52,2.21,-1.58,0.09
2021-06-10,0.478095,0.353571,0.1245239999999999,193.27,249.78,-56.50999999999999,7088.18,7080.46,0.11,0.86,-0.37,2982.02,1.35,0.85,16.1,16.1,0.526934846401301,0.5348322715988881,-0.0078974251975871,-1.0,9.0,10.0,89.1,72.85714285714286,16.242857142857133,26.942857142857136,-10.700000000000005,5.744897959183672,-1.16,2.16,-0.12,1.15,-0.18,2.55,-1.53,0.32,6.0,-29.9,73.21,72.06,-0.97,1.04,-2.05,0.09
