Date,EPU Index,Previous EPU Index,EPU_Change
2018-04-27,230.78,232.21,-1.4300000000000068
2018-04-30,124.27,80.75,43.519999999999996
2018-05-01,123.34,230.78,-107.44
2018-05-02,283.28,124.27,159.01
2018-05-03,314.88,123.34,191.54
2018-05-04,199.38,283.28,-83.89999999999998
2018-05-08,297.94,314.88,-16.939999999999998
2018-05-09,414.67,199.38,215.29000000000002
2018-05-10,324.53,297.94,26.589999999999975
2018-05-11,283.79,414.67,-130.88
2018-05-14,273.95,324.53,-50.579999999999984
2018-05-15,627.57,283.79,343.78000000000003
2018-05-16,199.67,273.95,-74.28
2018-05-17,144.2,627.57,-483.37000000000006
2018-05-18,270.26,199.67,70.59
2018-05-21,293.21,144.2,149.01
2018-05-22,329.62,270.26,59.360000000000014
2018-05-23,265.4,293.21,-27.810000000000002
2018-05-24,389.7,329.62,60.079999999999984
2018-05-25,494.92,265.4,229.52000000000004
2018-05-29,307.71,389.7,-81.99000000000001
2018-05-30,549.97,494.92,55.05000000000001
2018-05-31,380.55,307.71,72.84000000000003
2018-06-01,264.1,549.97,-285.87
2018-06-04,253.55,380.55,-127.0
2018-06-05,401.09,264.1,136.98999999999995
2018-06-06,524.8,253.55,271.24999999999994
2018-06-07,402.41,401.09,1.32000000000005
2018-06-08,373.27,524.8,-151.52999999999997
2018-06-11,399.51,402.41,-2.900000000000034
2018-06-12,329.06,373.27,-44.20999999999998
2018-06-13,388.3,399.51,-11.20999999999998
2018-06-14,335.53,329.06,6.46999999999997
2018-06-15,446.58,388.3,58.27999999999997
2018-06-18,279.08,335.53,-56.44999999999999
2018-06-19,357.65,446.58,-88.93
2018-06-20,296.57,279.08,17.49000000000001
2018-06-21,419.92,357.65,62.27000000000004
2018-06-22,400.42,296.57,103.85000000000002
2018-06-25,306.26,419.92,-113.66000000000003
2018-06-26,343.9,400.42,-56.52000000000004
2018-06-27,365.2,306.26,58.94
2018-06-28,269.8,343.9,-74.09999999999997
2018-06-29,515.4,365.2,150.2
2018-07-02,279.93,269.8,10.129999999999995
2018-07-03,411.48,515.4,-103.91999999999996
