Date,Close,Vix Close
2018-01-26,11.08,11.08
2018-01-19,11.27,11.27
2018-01-12,10.16,10.16
2018-01-05,9.22,9.22
2019-12-27,13.43,13.43
2019-12-20,12.51,12.51
2019-12-13,12.63,12.63
2019-12-06,13.62,13.62
2019-11-29,12.62,12.62
2019-11-22,12.34,12.34
2019-11-15,12.05,12.05
2019-11-08,12.07,12.07
2019-11-01,12.3,12.3
2019-10-25,12.65,12.65
2019-10-18,14.25,14.25
2019-10-11,15.58,15.58
2019-10-04,17.04,17.04
2019-09-27,17.22,17.22
2019-09-20,15.32,15.32
2019-09-13,13.74,13.74
2019-09-06,15.0,15.0
2019-08-30,18.98,18.98
2019-08-23,19.87,19.87
2019-08-16,18.47,18.47
2019-08-09,17.97,17.97
2019-08-02,17.61,17.61
2019-07-26,12.16,12.16
2019-07-19,14.45,14.45
2019-07-12,12.39,12.39
2019-07-05,13.28,13.28
2019-06-28,15.08,15.08
2019-06-21,15.4,15.4
2019-06-14,15.28,15.28
2019-06-07,16.3,16.3
2019-05-31,18.71,18.71
2019-05-24,15.85,15.85
2019-05-17,15.96,15.96
2019-05-10,16.04,16.04
2019-05-03,12.87,12.87
2019-04-26,12.73,12.73
2019-04-12,12.01,12.01
2019-04-05,12.82,12.82
2019-03-29,13.71,13.71
2019-03-22,16.48,16.48
2019-03-15,12.88,12.88
2019-03-08,16.05,16.05
2019-03-01,13.57,13.57
2019-02-22,13.51,13.51
2019-02-15,14.91,14.91
2019-02-08,15.72,15.72
2019-02-01,16.14,16.14
2019-01-25,17.42,17.42
2019-01-18,17.8,17.8
2019-01-11,18.19,18.19
2019-01-04,21.38,21.38
