Date,% Voda Change,Previous % Voda Change,Next % Voda Change
2022-02-25,-3.83,8.84,-10.54
2022-03-04,-10.26,2.5,3.39
2022-03-11,-10.54,-3.83,4.87
2022-03-18,3.39,-10.26,-0.97
2022-03-25,4.87,-10.54,3.16
2022-04-01,-0.97,3.39,0.98
2022-04-08,3.16,4.87,-5.99
2022-04-22,0.98,-0.97,-5.66
2022-04-29,-5.99,3.16,-3.06
2022-05-06,-5.66,0.98,0.56
2022-05-13,-3.06,-5.99,10.46
2022-05-20,0.56,-5.66,3.6
2022-05-27,10.46,-3.06,-2.41
2022-06-10,3.6,0.56,0.83
2022-06-17,-2.41,10.46,0.28
2022-06-24,0.83,3.6,1.55
2022-07-01,0.28,-2.41,1.32
2022-07-08,1.55,0.83,0.44
2022-07-15,1.32,0.28,-6.39
2022-07-22,0.44,1.55,-5.88
2022-07-29,-6.39,1.32,0.65
2022-08-05,-5.88,0.44,0.25
2022-08-12,0.65,-6.39,-5.35
2022-08-19,0.25,-5.88,-6.49
2022-08-26,-5.35,0.65,-5.74
2022-09-02,-6.49,0.25,-4.81
2022-09-09,-5.74,-5.35,-0.33
2022-09-16,-4.81,-6.49,-6.68
2022-09-23,-0.33,-5.74,-7.03
2022-09-30,-6.68,-4.81,-1.51
2022-10-07,-7.03,-0.33,-1.92
2022-10-14,-1.51,-6.68,0.22
2022-10-21,-1.92,-7.03,6.26
2022-10-28,0.22,-1.51,3.92
2022-11-04,6.26,-1.92,-7.01
2022-11-11,3.92,0.22,-10.28
2022-11-18,-7.01,6.26,-6.45
2022-11-25,-10.28,3.92,-6.78
2022-12-02,-6.45,-7.01,-8.1
2022-12-09,-6.78,-10.28,-3.29
2022-12-16,-8.1,-6.45,0.57
2022-12-23,-3.29,-6.78,5.73
2022-12-30,0.57,-8.1,8.75
2023-01-06,5.73,-3.29,3.57
2023-01-13,8.75,0.57,1.98
2023-01-20,3.57,5.73,-0.81
2023-01-27,1.98,8.75,-1.43
2023-02-03,-0.81,3.57,12.33
2023-02-10,-1.43,1.98,7.71
2023-02-17,12.33,-0.81,-1.86
2023-02-24,7.71,-1.43,-0.63
2023-03-03,-1.86,12.33,-10.06
2023-03-10,-0.63,7.71,-10.13
2023-03-17,-10.06,-1.86,-1.18
2023-03-24,-10.13,-0.63,3.83
2023-03-31,-1.18,-10.06,1.52
2023-04-14,3.83,-10.13,4.27
