Date,% BP Change,Previous % BP Change,Next % BP Change
2023-04-21,3.76,6.43,-7.11
2023-04-28,-1.22,11.25,-9.62
2023-05-05,-7.11,3.76,-2.21
2023-05-12,-9.62,-1.22,-1.26
2023-05-19,-2.21,-7.11,-1.46
2023-05-26,-1.26,-9.62,-1.68
2023-06-02,-1.46,-2.21,-3.11
2023-06-09,-1.68,-1.26,-3.04
2023-06-16,-3.11,-1.46,-0.27
2023-06-23,-3.04,-1.68,-0.24
2023-06-30,-0.27,-3.11,-0.41
2023-07-07,-0.24,-3.04,4.91
2023-07-14,-0.41,-0.27,4.15
2023-07-21,4.91,-0.24,2.24
2023-07-28,4.15,-0.41,2.31
2023-08-04,2.24,4.91,-2.67
2023-08-11,2.31,4.15,-2.22
2023-08-18,-2.67,2.24,5.78
2023-08-25,-2.22,2.31,8.77
2023-09-01,5.78,-2.67,4.47
2023-09-08,8.77,-2.22,1.62
2023-09-15,4.47,5.78,1.57
2023-09-22,1.62,8.77,-3.82
2023-09-29,1.57,4.47,3.07
2023-10-06,-3.82,1.62,7.87
2023-10-13,3.07,1.57,-3.14
2023-10-20,7.87,-3.82,-10.19
2023-10-27,-3.14,3.07,-9.92
2023-11-03,-10.19,7.87,-2.48
2023-11-10,-9.92,-3.14,-0.28
2023-11-17,-2.48,-10.19,0.15
2023-11-24,-0.28,-9.92,-1.73
2023-12-01,0.15,-2.48,-4.3
2023-12-08,-1.73,-0.28,-0.22
2023-12-15,-4.3,0.15,1.81
