Date,StringencyIndex_Average,Previous Stringency,Stringency_Change
2020-02-23,11.11,11.11,0.0
2020-02-23,11.11,11.11,0.0
2020-02-23,11.11,11.11,0.0
2020-02-24,11.11,11.11,0.0
2020-02-24,11.11,11.11,0.0
2020-02-24,11.11,11.11,0.0
2020-02-24,11.11,11.11,0.0
2020-02-24,11.11,11.11,0.0
2020-02-25,11.11,11.11,0.0
2020-02-25,11.11,11.11,0.0
2020-02-25,11.11,11.11,0.0
2020-02-25,11.11,11.11,0.0
2020-02-25,11.11,11.11,0.0
2020-02-26,11.11,11.11,0.0
2020-02-26,11.11,11.11,0.0
2020-02-26,11.11,11.11,0.0
2020-02-26,11.11,11.11,0.0
2020-02-26,11.11,11.11,0.0
2020-02-27,11.11,11.11,0.0
2020-02-27,11.11,11.11,0.0
2020-02-27,11.11,11.11,0.0
2020-02-27,11.11,11.11,0.0
2020-02-27,11.11,11.11,0.0
2020-02-28,11.11,11.11,0.0
2020-02-28,11.11,11.11,0.0
2020-02-28,11.11,11.11,0.0
2020-02-28,11.11,11.11,0.0
2020-02-28,11.11,11.11,0.0
2020-02-29,11.11,11.11,0.0
2020-02-29,11.11,11.11,0.0
2020-02-29,11.11,11.11,0.0
2020-02-29,11.11,11.11,0.0
2020-02-29,11.11,11.11,0.0
2020-03-01,11.11,11.11,0.0
2020-03-01,11.11,11.11,0.0
2020-03-01,11.11,11.11,0.0
2020-03-01,11.11,11.11,0.0
2020-03-01,11.11,11.11,0.0
2020-03-02,11.11,11.11,0.0
2020-03-02,11.11,11.11,0.0
2020-03-02,11.11,11.11,0.0
2020-03-02,11.11,11.11,0.0
2020-03-02,11.11,11.11,0.0
2020-03-03,11.11,11.11,0.0
2020-03-03,11.11,11.11,0.0
2020-03-03,11.11,11.11,0.0
2020-03-03,11.11,11.11,0.0
2020-03-03,11.11,11.11,0.0
2020-03-04,11.11,11.11,0.0
2020-03-04,11.11,11.11,0.0
2020-03-04,11.11,11.11,0.0
2020-03-04,11.11,11.11,0.0
2020-03-04,11.11,11.11,0.0
2020-03-05,11.11,11.11,0.0
2020-03-05,11.11,11.11,0.0
2020-03-05,11.11,11.11,0.0
2020-03-05,11.11,11.11,0.0
2020-03-05,11.11,11.11,0.0
2020-03-06,11.11,11.11,0.0
2020-03-06,11.11,11.11,0.0
2020-03-06,11.11,11.11,0.0
2020-03-06,11.11,11.11,0.0
2020-03-06,11.11,11.11,0.0
2020-03-07,11.11,11.11,0.0
2020-03-07,11.11,11.11,0.0
2020-03-07,11.11,11.11,0.0
2020-03-07,11.11,11.11,0.0
2020-03-07,11.11,11.11,0.0
2020-03-08,11.11,11.11,0.0
2020-03-08,11.11,11.11,0.0
2020-03-08,11.11,11.11,0.0
2020-03-08,11.11,11.11,0.0
2020-03-08,11.11,11.11,0.0
2020-03-09,11.11,11.11,0.0
2020-03-09,11.11,11.11,0.0
2020-03-09,11.11,11.11,0.0
2020-03-09,11.11,11.11,0.0
2020-03-09,11.11,11.11,0.0
2020-03-10,11.11,11.11,0.0
2020-03-10,11.11,11.11,0.0
2020-03-10,11.11,11.11,0.0
2020-03-10,11.11,11.11,0.0
2020-03-10,11.11,11.11,0.0
2020-03-11,11.11,11.11,0.0
2020-03-11,11.11,11.11,0.0
2020-03-11,11.11,11.11,0.0
2020-03-11,11.11,11.11,0.0
2020-03-11,11.11,11.11,0.0
2020-03-12,11.11,11.11,0.0
2020-03-12,11.11,11.11,0.0
2020-03-12,11.11,11.11,0.0
2020-03-12,11.11,11.11,0.0
2020-03-12,11.11,11.11,0.0
2020-03-13,14.81,11.11,3.700000000000001
2020-03-13,11.11,11.11,0.0
2020-03-13,11.11,11.11,0.0
2020-03-13,11.11,11.11,0.0
2020-03-13,12.96,11.11,1.8500000000000014
2020-03-14,11.11,11.11,0.0
2020-03-14,14.81,11.11,3.700000000000001
2020-03-14,11.11,14.81,-3.700000000000001
2020-03-14,12.96,11.11,1.8500000000000014
2020-03-14,11.11,11.11,0.0
2020-03-15,11.11,11.11,0.0
2020-03-15,11.11,12.96,-1.8500000000000014
2020-03-15,12.96,11.11,1.8500000000000014
2020-03-15,11.11,14.81,-3.700000000000001
2020-03-15,14.81,11.11,3.700000000000001
2020-03-16,29.63,12.96,16.669999999999998
2020-03-16,14.81,11.11,3.700000000000001
2020-03-16,16.67,11.11,5.560000000000002
2020-03-16,14.81,11.11,3.700000000000001
2020-03-16,14.81,12.96,1.8499999999999996
2020-03-17,20.37,11.11,9.260000000000002
2020-03-17,29.63,14.81,14.819999999999999
2020-03-17,20.37,29.63,-9.259999999999998
2020-03-17,22.22,14.81,7.409999999999998
2020-03-17,20.37,16.67,3.6999999999999993
2020-03-18,31.48,14.81,16.67
2020-03-18,20.37,14.81,5.5600000000000005
2020-03-18,24.07,20.37,3.6999999999999993
2020-03-18,31.48,29.63,1.8500000000000014
2020-03-18,29.63,20.37,9.259999999999998
2020-03-19,31.48,22.22,9.260000000000002
2020-03-19,24.07,20.37,3.6999999999999993
2020-03-19,20.37,31.48,-11.11
2020-03-19,31.48,20.37,11.11
2020-03-19,29.63,24.07,5.559999999999999
2020-03-20,46.3,31.48,14.819999999999997
2020-03-20,37.04,29.63,7.41
2020-03-20,25.93,31.48,-5.550000000000001
2020-03-20,37.04,24.07,12.969999999999999
2020-03-20,37.04,20.37,16.669999999999998
2020-03-21,50.0,31.48,18.52
2020-03-21,47.22,29.63,17.59
2020-03-21,38.89,46.3,-7.409999999999997
2020-03-21,50.0,37.04,12.96
2020-03-21,59.26,25.93,33.33
2020-03-22,55.56,37.04,18.520000000000003
2020-03-22,44.44,37.04,7.399999999999999
2020-03-22,55.56,50.0,5.560000000000002
2020-03-22,74.07,47.22,26.849999999999994
2020-03-22,62.04,38.89,23.15
2020-03-23,78.24,50.0,28.239999999999995
2020-03-23,79.63,59.26,20.369999999999997
2020-03-23,79.63,55.56,24.069999999999993
2020-03-23,79.63,44.44,35.19
2020-03-23,74.07,55.56,18.50999999999999
2020-03-24,79.63,74.07,5.560000000000002
2020-03-24,79.63,62.04,17.589999999999996
2020-03-24,79.63,78.24,1.3900000000000006
2020-03-24,79.63,79.63,0.0
2020-03-24,79.63,79.63,0.0
2020-03-25,79.63,79.63,0.0
2020-03-25,79.63,74.07,5.560000000000002
2020-03-25,79.63,79.63,0.0
2020-03-25,79.63,79.63,0.0
2020-03-25,79.63,79.63,0.0
2020-03-26,79.63,79.63,0.0
2020-03-26,79.63,79.63,0.0
2020-03-26,79.63,79.63,0.0
2020-03-26,79.63,79.63,0.0
2020-03-26,79.63,79.63,0.0
2020-03-27,79.63,79.63,0.0
2020-03-27,79.63,79.63,0.0
2020-03-27,79.63,79.63,0.0
2020-03-27,79.63,79.63,0.0
2020-03-27,79.63,79.63,0.0
2020-03-28,79.63,79.63,0.0
2020-03-28,79.63,79.63,0.0
2020-03-28,79.63,79.63,0.0
2020-03-28,79.63,79.63,0.0
2020-03-28,79.63,79.63,0.0
2020-03-29,79.63,79.63,0.0
2020-03-29,79.63,79.63,0.0
2020-03-29,79.63,79.63,0.0
2020-03-29,79.63,79.63,0.0
2020-03-29,79.63,79.63,0.0
2020-03-30,79.63,79.63,0.0
2020-03-30,79.63,79.63,0.0
2020-03-30,79.63,79.63,0.0
2020-03-30,79.63,79.63,0.0
2020-03-30,79.63,79.63,0.0
2020-03-31,79.63,79.63,0.0
2020-03-31,79.63,79.63,0.0
2020-03-31,79.63,79.63,0.0
2020-03-31,79.63,79.63,0.0
2020-03-31,79.63,79.63,0.0
2020-04-01,79.63,79.63,0.0
2020-04-01,79.63,79.63,0.0
2020-04-01,79.63,79.63,0.0
2020-04-01,79.63,79.63,0.0
2020-04-01,79.63,79.63,0.0
2020-04-02,79.63,79.63,0.0
2020-04-02,79.63,79.63,0.0
2020-04-02,79.63,79.63,0.0
2020-04-02,79.63,79.63,0.0
2020-04-02,79.63,79.63,0.0
2020-04-03,79.63,79.63,0.0
2020-04-03,79.63,79.63,0.0
2020-04-03,79.63,79.63,0.0
2020-04-03,79.63,79.63,0.0
2020-04-03,79.63,79.63,0.0
2020-04-04,79.63,79.63,0.0
2020-04-04,79.63,79.63,0.0
2020-04-04,79.63,79.63,0.0
2020-04-04,79.63,79.63,0.0
2020-04-04,79.63,79.63,0.0
2020-04-05,79.63,79.63,0.0
2020-04-05,79.63,79.63,0.0
2020-04-05,79.63,79.63,0.0
2020-04-05,79.63,79.63,0.0
2020-04-05,79.63,79.63,0.0
2020-04-06,79.63,79.63,0.0
2020-04-06,79.63,79.63,0.0
2020-04-06,79.63,79.63,0.0
2020-04-06,79.63,79.63,0.0
2020-04-06,79.63,79.63,0.0
2020-04-07,79.63,79.63,0.0
2020-04-07,79.63,79.63,0.0
2020-04-07,79.63,79.63,0.0
2020-04-07,79.63,79.63,0.0
2020-04-07,79.63,79.63,0.0
2020-04-08,79.63,79.63,0.0
2020-04-08,79.63,79.63,0.0
2020-04-08,79.63,79.63,0.0
2020-04-08,79.63,79.63,0.0
2020-04-08,79.63,79.63,0.0
2020-04-09,79.63,79.63,0.0
2020-04-09,79.63,79.63,0.0
2020-04-09,79.63,79.63,0.0
2020-04-09,79.63,79.63,0.0
2020-04-09,79.63,79.63,0.0
2020-04-10,79.63,79.63,0.0
2020-04-10,79.63,79.63,0.0
2020-04-10,79.63,79.63,0.0
2020-04-10,79.63,79.63,0.0
2020-04-10,79.63,79.63,0.0
2020-04-11,79.63,79.63,0.0
2020-04-11,79.63,79.63,0.0
2020-04-11,79.63,79.63,0.0
2020-04-11,79.63,79.63,0.0
2020-04-11,79.63,79.63,0.0
2020-04-12,79.63,79.63,0.0
2020-04-12,79.63,79.63,0.0
2020-04-12,79.63,79.63,0.0
2020-04-12,79.63,79.63,0.0
2020-04-12,79.63,79.63,0.0
2020-04-13,79.63,79.63,0.0
2020-04-13,79.63,79.63,0.0
2020-04-13,79.63,79.63,0.0
2020-04-13,79.63,79.63,0.0
2020-04-13,79.63,79.63,0.0
2020-04-14,79.63,79.63,0.0
2020-04-14,79.63,79.63,0.0
2020-04-14,79.63,79.63,0.0
2020-04-14,79.63,79.63,0.0
2020-04-14,79.63,79.63,0.0
2020-04-15,79.63,79.63,0.0
2020-04-15,79.63,79.63,0.0
2020-04-15,79.63,79.63,0.0
2020-04-15,79.63,79.63,0.0
2020-04-15,79.63,79.63,0.0
2020-04-16,79.63,79.63,0.0
2020-04-16,79.63,79.63,0.0
2020-04-16,79.63,79.63,0.0
2020-04-16,79.63,79.63,0.0
2020-04-16,79.63,79.63,0.0
2020-04-17,79.63,79.63,0.0
2020-04-17,79.63,79.63,0.0
2020-04-17,79.63,79.63,0.0
2020-04-17,79.63,79.63,0.0
2020-04-17,79.63,79.63,0.0
2020-04-18,79.63,79.63,0.0
2020-04-18,79.63,79.63,0.0
2020-04-18,79.63,79.63,0.0
2020-04-18,79.63,79.63,0.0
2020-04-18,79.63,79.63,0.0
2020-04-19,79.63,79.63,0.0
2020-04-19,79.63,79.63,0.0
2020-04-19,79.63,79.63,0.0
2020-04-19,79.63,79.63,0.0
2020-04-19,79.63,79.63,0.0
2020-04-20,79.63,79.63,0.0
2020-04-20,79.63,79.63,0.0
2020-04-20,79.63,79.63,0.0
2020-04-20,79.63,79.63,0.0
2020-04-20,79.63,79.63,0.0
2020-04-21,79.63,79.63,0.0
