"Date","Price","Open","High","Low","Vol.","Change %"
"30/06/2021","171.12","173.68","174.56","169.32","30.43M","-1.20%"
"29/06/2021","173.20","172.18","177.00","171.82","24.85M","0.98%"
"28/06/2021","171.52","174.84","175.14","171.52","20.47M","-1.90%"
"25/06/2021","174.84","176.04","176.62","173.50","18.43M","0.25%"
"24/06/2021","174.40","173.20","175.18","172.38","23.21M","0.93%"
"23/06/2021","172.80","172.58","174.40","172.57","19.64M","0.15%"
"22/06/2021","172.54","173.84","174.28","171.42","22.85M","-0.23%"
"21/06/2021","172.94","169.94","173.46","167.97","38.19M","0.63%"
"18/06/2021","171.86","177.10","177.78","171.73","97.46M","-3.89%"
"17/06/2021","178.82","176.82","181.90","176.82","45.01M","0.96%"
"16/06/2021","177.12","179.86","181.70","175.38","28.90M","-1.17%"
"15/06/2021","179.22","179.44","179.50","177.08","38.63M","-0.10%"
"14/06/2021","179.40","181.60","182.48","179.16","21.50M","-0.55%"
"11/06/2021","180.40","178.74","181.00","178.44","20.60M","0.75%"
"10/06/2021","179.06","180.84","182.04","178.94","30.63M","-0.80%"
"09/06/2021","180.50","184.52","184.76","179.74","31.51M","-2.52%"
"08/06/2021","185.16","186.26","188.18","184.40","40.92M","-0.97%"
"07/06/2021","186.98","184.54","188.03","184.02","31.01M","1.64%"
"04/06/2021","183.96","185.90","186.34","183.54","17.16M","-1.28%"
"03/06/2021","186.34","187.26","187.26","184.02","20.93M","-0.05%"
"02/06/2021","186.44","186.16","186.60","184.20","24.43M","0.46%"
"01/06/2021","185.58","185.00","186.80","184.10","27.99M","1.35%"
"28/05/2021","183.10","185.00","185.30","182.70","33.32M","-0.33%"
"27/05/2021","183.70","178.74","184.12","178.56","60.06M","2.48%"
"26/05/2021","179.26","178.84","179.57","175.12","39.99M","-0.21%"
"25/05/2021","179.64","180.32","181.62","178.94","26.06M","-0.02%"
"24/05/2021","179.68","180.10","180.98","178.16","18.55M","0.37%"
"21/05/2021","179.02","178.88","180.00","176.74","32.20M","0.08%"
"20/05/2021","178.88","177.65","181.00","177.42","28.65M","0.45%"
"19/05/2021","178.08","177.78","180.99","175.26","32.32M","-1.21%"
"18/05/2021","180.26","181.66","182.40","178.34","33.47M","0.58%"
"17/05/2021","179.22","181.38","182.34","178.14","29.04M","-0.82%"
"14/05/2021","180.70","182.32","182.32","179.18","33.61M","1.40%"
"13/05/2021","178.20","178.20","179.30","174.20","41.34M","-1.80%"
"12/05/2021","181.46","180.20","183.14","178.76","36.67M","0.81%"
"11/05/2021","180.00","181.98","184.44","179.15","43.94M","-2.94%"
"10/05/2021","185.46","183.16","186.20","182.88","59.50M","2.16%"
"07/05/2021","181.54","179.20","182.90","178.45","59.87M","2.51%"
"06/05/2021","177.10","177.02","177.80","175.24","72.65M","0.19%"
"05/05/2021","176.76","170.24","176.90","170.24","57.71M","3.43%"
"04/05/2021","170.90","177.50","179.48","169.66","89.57M","-2.62%"
"30/04/2021","175.50","179.00","180.48","174.62","133.10M","-7.01%"
"29/04/2021","188.72","189.78","190.58","187.26","49.59M","-0.13%"
"28/04/2021","188.96","188.10","190.10","186.16","71.69M","1.32%"
"27/04/2021","186.50","185.98","187.66","184.30","52.26M","0.23%"
"26/04/2021","186.08","182.38","186.56","180.38","40.62M","2.25%"
"23/04/2021","181.98","180.74","182.44","178.36","50.00M","-0.19%"
"22/04/2021","182.32","180.90","183.26","180.18","41.94M","0.87%"
"21/04/2021","180.74","181.22","184.98","179.08","62.83M","-0.58%"
"20/04/2021","181.80","188.56","189.32","181.80","56.98M","-3.13%"
"19/04/2021","187.68","189.32","189.76","186.98","41.64M","-0.79%"
"16/04/2021","189.18","185.42","190.10","185.00","61.98M","2.46%"
"15/04/2021","184.64","188.88","190.18","184.62","58.11M","-1.57%"
"14/04/2021","187.58","182.14","189.48","165.10","63.43M","0.41%"
"13/04/2021","186.82","187.16","190.20","186.62","60.35M","-0.67%"
"12/04/2021","188.08","184.76","190.16","184.00","78.41M","1.28%"
"09/04/2021","185.70","189.14","189.14","183.91","76.37M","-1.21%"
"08/04/2021","187.98","189.00","190.22","186.18","68.34M","0.33%"
"07/04/2021","187.36","186.76","190.00","186.04","75.56M","0.96%"
"06/04/2021","185.58","185.00","189.64","185.00","80.32M","0.86%"
"01/04/2021","184.00","186.08","190.04","183.86","79.55M","-1.03%"
"31/03/2021","185.92","188.08","189.62","185.92","90.41M","-1.70%"
"30/03/2021","189.14","182.96","190.34","182.37","86.09M","4.86%"
"29/03/2021","180.38","180.80","183.60","178.92","71.99M","-1.41%"
"26/03/2021","182.96","184.28","185.10","182.70","72.93M","0.51%"
"25/03/2021","182.04","182.80","184.12","179.24","73.25M","-1.18%"
"24/03/2021","184.22","179.28","186.58","177.94","93.51M","1.73%"
"23/03/2021","181.08","178.46","183.10","177.70","110.02M","0.07%"
"22/03/2021","180.96","179.90","185.50","178.30","92.50M","-0.90%"
"19/03/2021","182.60","180.18","182.94","177.58","131.12M","-0.65%"
"18/03/2021","183.80","182.62","184.94","180.03","47.01M","1.37%"
"17/03/2021","181.32","182.46","184.78","180.08","64.39M","-0.93%"
"16/03/2021","183.02","182.00","185.81","181.38","56.80M","1.52%"
"15/03/2021","180.28","181.34","182.54","178.18","45.21M","-0.18%"
"12/03/2021","180.60","176.02","180.72","174.64","83.23M","3.64%"
"11/03/2021","174.26","173.26","174.34","170.56","79.89M","0.15%"
"10/03/2021","174.00","173.20","176.60","172.50","42.09M","-1.01%"
"09/03/2021","175.78","175.78","177.00","171.82","97.93M","-1.20%"
"08/03/2021","177.92","173.48","178.18","173.11","66.99M","3.70%"
"05/03/2021","171.58","166.06","176.18","164.66","91.28M","2.95%"
"04/03/2021","166.66","170.94","171.18","165.62","43.08M","-2.16%"
"03/03/2021","170.34","163.78","170.34","111.83","64.31M","5.01%"
"02/03/2021","162.22","160.68","164.04","159.74","31.19M","0.55%"
"01/03/2021","161.34","162.00","164.28","160.28","30.52M","1.09%"
"26/02/2021","159.60","159.14","164.72","157.76","61.23M","-1.81%"
