Date,EPU Index
2018-01-20,183.93
2018-01-21,224.6
2018-01-22,283.06
2018-01-23,550.51
2018-01-24,263.83
2018-01-25,217.94
2018-01-26,354.58
2018-01-27,168.9
2018-01-28,283.71
2018-01-29,478.58
2018-01-30,277.63
2018-01-31,412.95
2018-02-01,202.48
2018-02-02,286.08
2018-02-03,271.53
2018-02-04,241.78
2018-02-05,493.29
2018-02-06,194.47
2018-02-07,195.94
2018-02-08,301.43
2018-02-09,222.4
2018-02-10,296.2
2018-02-11,216.09
2018-02-12,87.12
2018-02-13,288.63
2018-02-14,243.55
2018-02-15,204.69
2018-02-16,157.33
2018-02-17,283.23
2018-02-18,261.83
2018-02-19,283.67
2018-02-20,184.04
2018-02-21,183.37
2018-02-22,332.58
2018-02-23,341.19
2018-02-24,241.21
2018-02-25,296.63
2018-02-26,217.61
2018-02-27,144.24
2018-02-28,251.47
2018-03-01,449.45
2018-03-02,479.68
2018-03-03,399.31
2018-03-04,166.75
2018-03-05,262.68
2018-03-06,618.48
2018-03-07,353.45
2018-03-08,286.44
2018-03-09,438.28
2018-03-10,246.27
2018-03-11,79.14
2018-03-12,270.06
2018-03-13,568.39
2018-03-14,734.79
2018-03-15,410.49
2018-03-16,366.43
2018-03-17,362.68
2018-03-18,198.75
2018-03-19,228.66
2018-03-20,330.56
2018-03-21,358.35
2018-03-22,315.85
2018-03-23,303.48
2018-03-24,337.99
2018-03-25,158.55
2018-03-26,257.51
2018-03-27,392.79
2018-03-28,217.26
2018-03-29,298.67
2018-03-30,159.85
2018-03-31,176.84
2018-04-01,183.13
2018-04-02,167.03
2018-04-03,161.94
2018-04-04,192.97
2018-04-05,225.16
2018-04-06,432.27
2018-04-07,187.45
2018-04-08,154.88
2018-04-09,173.53
2018-04-10,284.53
2018-04-11,319.48
2018-04-12,127.49
2018-04-13,464.73
2018-04-14,258.54
2018-04-15,184.94
2018-04-16,305.74
2018-04-17,285.21
2018-04-18,286.16
2018-04-19,339.49
2018-04-20,253.07
2018-04-21,194.57
2018-04-22,174.44
2018-04-23,189.91
2018-04-24,171.86
2018-04-25,232.21
2018-04-26,80.75
2018-04-27,230.78
2018-04-28,423.37
2018-04-29,81.24
2018-04-30,124.27
2018-05-01,123.34
2018-05-02,283.28
2018-05-03,314.88
2018-05-04,199.38
2018-05-05,285.29
2018-05-06,258.78
2018-05-07,219.42
2018-05-08,297.94
2018-05-09,414.67
2018-05-10,324.53
2018-05-11,283.79
2018-05-12,194.43
2018-05-13,200.96
2018-05-14,273.95
2018-05-15,627.57
2018-05-16,199.67
2018-05-17,144.2
2018-05-18,270.26
2018-05-19,232.75
2018-05-20,173.28
2018-05-21,293.21
2018-05-22,329.62
2018-05-23,265.4
2018-05-24,389.7
2018-05-25,494.92
2018-05-26,418.75
2018-05-27,154.6
2018-05-28,448.57
2018-05-29,307.71
2018-05-30,549.97
2018-05-31,380.55
2018-06-01,264.1
2018-06-02,277.25
2018-06-03,281.1
2018-06-04,253.55
2018-06-05,401.09
2018-06-06,524.8
2018-06-07,402.41
2018-06-08,373.27
2018-06-09,357.12
2018-06-10,83.42
2018-06-11,399.51
2018-06-12,329.06
2018-06-13,388.3
2018-06-14,335.53
2018-06-15,446.58
2018-06-16,262.05
2018-06-17,167.8
2018-06-18,279.08
2018-06-19,357.65
2018-06-20,296.57
2018-06-21,419.92
2018-06-22,400.42
2018-06-23,234.61
2018-06-24,387.15
2018-06-25,306.26
2018-06-26,343.9
2018-06-27,365.2
2018-06-28,269.8
2018-06-29,515.4
2018-06-30,304.04
2018-07-01,175.4
2018-07-02,279.93
2018-07-03,411.48
2018-07-04,426.51
2018-07-05,411.87
2018-07-06,362.78
2018-07-07,272.69
2018-07-08,303.79
2018-07-09,260.32
2018-07-10,197.19
2018-07-11,231.84
2018-07-12,317.52
2018-07-13,319.17
2018-07-14,375.24
2018-07-15,131.08
2018-07-16,184.39
2018-07-17,444.09
2018-07-18,233.78
2018-07-19,284.24
2018-07-20,199.91
2018-07-21,223.31
2018-07-22,221.81
2018-07-23,257.06
2018-07-24,478.56
2018-07-25,530.13
2018-07-26,97.4
2018-07-27,354.22
2018-07-28,420.5
2018-07-29,162.97
2018-07-30,378.1
2018-07-31,408.2
2018-08-01,421.95
2018-08-02,565.6
2018-08-03,562.4
2018-08-04,413.05
2018-08-05,291.19
2018-08-06,551.25
2018-08-07,335.21
2018-08-08,207.95
2018-08-09,214.01
2018-08-10,211.43
2018-08-11,322.85
2018-08-12,402.41
2018-08-13,130.01
2018-08-14,211.64
2018-08-15,184.28
2018-08-16,301.99
2018-08-17,317.44
2018-08-18,164.05
2018-08-19,167.11
2018-08-20,286.54
2018-08-21,113.29
2018-08-22,208.25
2018-08-23,305.15
2018-08-24,266.47
2018-08-25,284.06
2018-08-26,212.85
2018-08-27,247.82
2018-08-28,326.98
2018-08-29,307.6
2018-08-30,258.73
2018-08-31,110.88
2018-09-01,62.89
2018-09-02,179.06
2018-09-03,249.38
2018-09-04,169.95
2018-09-05,84.71
2018-09-06,88.56
2018-09-07,94.01
2018-09-08,146.28
2018-09-09,127.5
2018-09-10,76.77
2018-09-11,78.67
2018-09-12,35.56
2018-09-13,75.46
2018-09-14,54.14
2018-09-15,93
2018-09-16,167.52
2018-09-17,106.99
2018-09-18,163.68
2018-09-19,118.23
2018-09-20,101.69
2018-09-21,160.29
2018-09-22,86.58
2018-09-23,168.31
2018-09-24,159.13
2018-09-25,117.83
2018-09-26,66.18
2018-09-27,75.73
2018-09-28,95.1
2018-09-29,87.6
2018-09-30,155.54
2018-10-01,218.75
2018-10-02,172.99
2018-10-03,161.22
2018-10-04,172.13
2018-10-05,111.95
2018-10-06,112.15
2018-10-07,216.28
2018-10-08,114.72
2018-10-09,80.03
2018-10-10,102.63
2018-10-11,95.72
2018-10-12,130.22
2018-10-13,99.12
2018-10-14,217.33
2018-10-15,122.25
2018-10-16,164.54
2018-10-17,127.52
2018-10-18,201.36
2018-10-19,133.82
2018-10-20,92.8
2018-10-21,160.54
2018-10-22,166.17
2018-10-23,78.04
2018-10-24,148.33
2018-10-25,196.24
2018-10-26,131.03
2018-10-27,112.53
2018-10-28,240
2018-10-29,115.59
2018-10-30,86.53
2018-10-31,125.57
2018-11-01,136.47
2018-11-02,116.44
2018-11-03,146.61
2018-11-04,276.42
2018-11-05,148.61
2018-11-06,209.72
2018-11-07,95.14
2018-11-08,147.83
2018-11-09,77.9
2018-11-10,81.65
2018-11-11,84.43
2018-11-12,119.92
2018-11-13,122.9
2018-11-14,110.31
2018-11-15,86.13
2018-11-16,87.24
2018-11-17,52.42
2018-11-18,153.8
2018-11-19,40.16
2018-11-20,39.01
2018-11-21,96.18
2018-11-22,38.15
2018-11-23,51.78
2018-11-24,95.66
2018-11-25,232.66
2018-11-26,136.55
2018-11-27,169.52
2018-11-28,140.28
2018-11-29,300.77
2018-11-30,200.35
2018-12-01,133.39
2018-12-02,318.54
2018-12-03,275.23
2018-12-04,134.11
2018-12-05,104.06
2018-12-06,114.96
2018-12-07,135.7
2018-12-08,109.51
2018-12-09,164.14
2018-12-10,130.3
2018-12-11,122.82
2018-12-12,90.56
2018-12-13,175.32
2018-12-14,173.09
2018-12-15,142.14
2018-12-16,279.95
2018-12-17,145.96
2018-12-18,149.84
2018-12-19,167.58
2018-12-20,126.49
2018-12-21,172.98
2018-12-22,294.68
2018-12-23,371.71
2018-12-24,221.51
2018-12-25,244.97
2018-12-26,332.51
2018-12-27,224.95
2018-12-28,210.47
2018-12-29,190.43
2018-12-30,441.23
2018-12-31,208.65
2019-01-01,277.31
2019-01-02,261.75
2019-01-03,260.5
2019-01-04,202.67
2019-01-05,197.28
2019-01-06,279.08
2019-01-07,222.88
2019-01-08,353.46
2019-01-09,184.28
2019-01-10,245.54
2019-01-11,264.37
2019-01-12,277.24
2019-01-13,252.68
2019-01-14,354.67
2019-01-15,264.2
2019-01-16,214.45
2019-01-17,220.77
2019-01-18,231.23
2019-01-19,189.63
2019-01-20,274.22
2019-01-21,154.82
2019-01-22,177.09
2019-01-23,125.01
2019-01-24,196.05
2019-01-25,157.73
2019-01-26,146.74
2019-01-27,340.52
2019-01-28,169.08
2019-01-29,113.52
2019-01-30,178.26
2019-01-31,215.31
2019-02-01,160.6
2019-02-02,143.59
2019-02-03,245.63
2019-02-04,229.79
2019-02-05,136.49
2019-02-06,291.63
2019-02-07,151.49
2019-02-08,110.93
2019-02-09,81.2
2019-02-10,155.47
2019-02-11,140.29
2019-02-12,34.43
2019-02-13,150.51
2019-02-14,46.78
2019-02-15,116.61
2019-02-16,94.77
2019-02-17,164.71
2019-02-18,179.19
2019-02-19,159.55
2019-02-20,101.65
2019-02-21,152.4
2019-02-22,147.67
2019-02-23,113.06
2019-02-24,145.84
2019-02-25,119.4
2019-02-26,176.23
2019-02-27,200.09
2019-02-28,177.2
2019-03-01,174.41
2019-03-02,164.8
2019-03-03,151.65
2019-03-04,79.87
2019-03-05,263.21
2019-03-06,121.63
2019-03-07,175.94
2019-03-08,148.08
2019-03-09,148.98
2019-03-10,239.99
2019-03-11,241.99
2019-03-12,119.85
2019-03-13,159.04
2019-03-14,95.05
2019-03-15,156.06
2019-03-16,105.05
2019-03-17,190.03
2019-03-18,95.39
2019-03-19,159
2019-03-20,135.17
2019-03-21,144.13
2019-03-22,121.62
2019-03-23,97.73
2019-03-24,148.08
2019-03-25,83.11
2019-03-26,84.52
2019-03-27,135.32
2019-03-28,58.61
2019-03-29,136.85
2019-03-30,125.06
2019-03-31,170.52
2019-04-01,184.37
2019-04-02,140.74
2019-04-03,157.32
2019-04-04,95.5
2019-04-05,64.47
2019-04-06,278.25
2019-04-07,163.95
2019-04-08,95.01
2019-04-09,90.27
2019-04-10,122.34
2019-04-11,86.65
2019-04-12,86.6
2019-04-13,76.99
2019-04-14,241.81
2019-04-15,98.02
2019-04-16,87.13
2019-04-17,104.84
2019-04-18,109.16
2019-04-19,66.93
2019-04-20,78.55
2019-04-21,154.48
2019-04-22,151.72
2019-04-23,79.32
2019-04-24,85.69
2019-04-25,109.87
2019-04-26,144.69
2019-04-27,122.71
2019-04-28,231.37
2019-04-29,130.02
2019-04-30,124.89
2019-05-01,155
2019-05-02,45.29
2019-05-03,118.88
2019-05-04,99.43
2019-05-05,161.6
2019-05-06,148.93
2019-05-07,172.56
2019-05-08,197.02
2019-05-09,131.52
2019-05-10,145.93
2019-05-11,101.47
2019-05-12,211.69
2019-05-13,150.3
2019-05-14,202.21
2019-05-15,183.54
2019-05-16,178.72
2019-05-17,132.61
2019-05-18,150.46
2019-05-19,194.08
2019-05-20,176.14
2019-05-21,116.83
2019-05-22,154.53
2019-05-23,91.32
2019-05-24,176.48
2019-05-25,227.29
2019-05-26,214.63
2019-05-27,204.05
2019-05-28,138.94
2019-05-29,109.48
2019-05-30,55.91
2019-05-31,118.86
2019-06-01,170.68
2019-06-02,284.58
2019-06-03,78.05
2019-06-04,102.9
2019-06-05,289.39
2019-06-06,200.83
2019-06-07,256.11
2019-06-08,259.05
2019-06-09,269.57
2019-06-10,315.14
2019-06-11,195.34
2019-06-12,221.49
2019-06-13,193.06
2019-06-14,211.35
2019-06-15,220.74
2019-06-16,305.33
2019-06-17,184.84
2019-06-18,193.68
2019-06-19,138.06
2019-06-20,111.35
2019-06-21,158.56
2019-06-22,157.46
2019-06-23,287.51
2019-06-24,182.58
2019-06-25,130.91
2019-06-26,182.46
2019-06-27,128.14
2019-06-28,200.08
2019-06-29,101.85
2019-06-30,164.44
2019-07-01,228.1
2019-07-02,104.8
2019-07-03,116.97
2019-07-04,129.1
2019-07-05,88.75
2019-07-06,157.4
2019-07-07,208.89
2019-07-08,135.08
2019-07-09,86.96
2019-07-10,78.19
2019-07-11,177.98
2019-07-12,175.16
2019-07-13,190.39
2019-07-14,159.34
2019-07-15,171.43
2019-07-16,160.2
2019-07-17,132.08
2019-07-18,103.98
2019-07-19,105.11
2019-07-20,51.97
2019-07-21,184.2
2019-07-22,131.78
2019-07-23,137.07
2019-07-24,88.37
2019-07-25,116.47
2019-07-26,156.12
2019-07-27,279.21
2019-07-28,300.71
2019-07-29,111.8
2019-07-30,187.94
2019-07-31,106.55
2019-08-01,180.22
2019-08-02,163.5
2019-08-03,213.36
2019-08-04,215.25
2019-08-05,124.52
2019-08-06,145.96
2019-08-07,149.37
2019-08-08,106.55
2019-08-09,132.2
2019-08-10,95.22
2019-08-11,209.13
2019-08-12,138.41
2019-08-13,124.84
2019-08-14,233.95
2019-08-15,321.75
2019-08-16,317.09
2019-08-17,375.01
2019-08-18,271.32
2019-08-19,225.91
2019-08-20,229.26
2019-08-21,324.62
2019-08-22,268.32
2019-08-23,373.96
2019-08-24,537.82
2019-08-25,452.09
2019-08-26,332.02
2019-08-27,260.2
2019-08-28,178.13
2019-08-29,123.5
2019-08-30,227.01
2019-08-31,218.07
2019-09-01,298.08
2019-09-02,258.69
2019-09-03,193.59
2019-09-04,148.63
2019-09-05,175.82
2019-09-06,234.88
2019-09-07,278.8
2019-09-08,170.83
2019-09-09,148.12
2019-09-10,109.86
2019-09-11,123.91
2019-09-12,177.34
2019-09-13,200.48
2019-09-14,184
2019-09-15,216.48
2019-09-16,100.85
2019-09-17,130.63
2019-09-18,119.32
2019-09-19,207.9
2019-09-20,260.94
2019-09-21,141.74
2019-09-22,245.59
2019-09-23,225.96
2019-09-24,164.71
2019-09-25,263.75
2019-09-26,121.88
2019-09-27,178.99
2019-09-28,176.07
2019-09-29,254.77
2019-09-30,161.4
2019-10-01,85.41
2019-10-02,170.14
2019-10-03,119.79
2019-10-04,283.2
2019-10-05,293.11
2019-10-06,296.57
2019-10-07,189.81
2019-10-08,241.79
2019-10-09,39.52
2019-10-10,216.9
2019-10-11,142.6
2019-10-12,102.74
2019-10-13,302.32
2019-10-14,171.84
2019-10-15,108.44
2019-10-16,146.67
2019-10-17,135.87
2019-10-18,84.76
2019-10-19,165.83
2019-10-20,191.34
2019-10-21,102.35
2019-10-22,63.36
2019-10-23,100.02
2019-10-24,89.36
2019-10-25,96.15
2019-10-26,96.06
2019-10-27,249.55
2019-10-28,95.5
2019-10-29,181.7
2019-10-30,222.21
2019-10-31,210.43
2019-11-01,76.13
2019-11-02,209.96
2019-11-03,186.16
2019-11-04,145.89
2019-11-05,206.21
2019-11-06,83.59
2019-11-07,112.46
2019-11-08,173.74
2019-11-09,142.72
2019-11-10,178.44
2019-11-11,176.64
2019-11-12,181.35
2019-11-13,113.76
2019-11-14,107.49
2019-11-15,96.5
2019-11-16,159.61
2019-11-17,234.15
2019-11-18,37.21
2019-11-19,43.49
2019-11-20,64.06
2019-11-21,86.88
2019-11-22,85.75
2019-11-23,142.51
2019-11-24,180.15
2019-11-25,114.66
2019-11-26,74.96
2019-11-27,105.94
2019-11-28,179.83
2019-11-29,109.96
2019-11-30,70.6
2019-12-01,110.22
2019-12-02,101.44
2019-12-03,149.36
2019-12-04,131.72
2019-12-05,143.75
2019-12-06,231.13
2019-12-07,294.18
2019-12-08,375.71
2019-12-09,168.58
2019-12-10,178.11
2019-12-11,129.85
2019-12-12,165.69
2019-12-13,246.56
2019-12-14,268.28
2019-12-15,220.84
2019-12-16,156.24
2019-12-17,166.36
2019-12-18,118.61
2019-12-19,105.77
2019-12-20,205.95
2019-12-21,207.86
2019-12-22,260.72
2019-12-23,166.34
