Date,Price,Open,High,Low,Vol.,Change %
06/02/2023,883.79,888.41,888.41,882.29,4.01B,-0.67%
03/02/2023,889.79,887.49,889.82,884.47,3.49B,0.12%
02/02/2023,888.76,873.94,888.76,873.94,4.23B,1.78%
01/02/2023,873.22,868.58,875.98,868.58,5.65B,0.62%
31/01/2023,867.82,867.70,868.15,863.56,4.86B,-0.15%
30/01/2023,869.16,867.35,869.16,865.07,3.10B,-0.01%
27/01/2023,869.24,864.56,869.24,864.56,2.71B,0.44%
26/01/2023,865.41,861.62,868.40,861.62,3.29B,0.54%
25/01/2023,860.78,862.72,864.02,858.32,4.06B,-0.31%
24/01/2023,863.47,860.04,864.26,860.04,3.81B,0.51%
23/01/2023,859.08,856.50,860.02,856.50,3.81B,0.36%
20/01/2023,856.02,853.54,856.68,853.54,3.55B,0.46%
19/01/2023,852.09,861.10,863.14,851.45,4.84B,-0.82%
18/01/2023,859.10,859.33,861.15,858.46,2.70B,0.11%
17/01/2023,858.19,862.96,863.81,858.19,3.19B,-0.39%
16/01/2023,861.59,863.56,863.56,860.50,2.91B,-0.35%
13/01/2023,864.60,860.08,864.60,859.74,2.92B,0.60%
12/01/2023,859.47,852.45,859.70,850.04,2.13B,0.92%
11/01/2023,851.62,848.14,851.99,848.14,2.17B,0.52%
10/01/2023,847.25,850.05,850.05,846.20,2.42B,-0.33%
09/01/2023,850.04,848.46,850.32,847.34,1.48B,0.30%
06/01/2023,847.46,843.72,847.46,842.86,2.22B,0.44%
05/01/2023,843.74,843.46,845.08,842.45,1.59B,-0.02%
04/01/2023,843.93,839.58,843.96,839.00,1.98B,0.63%
03/01/2023,838.63,831.27,841.27,831.27,2.01B,0.88%
30/12/2022,831.33,836.44,836.44,830.99,1.56B,-0.61%
29/12/2022,836.45,832.94,836.45,830.12,1.32B,0.50%
28/12/2022,832.28,833.49,833.49,830.29,1.37B,0.04%
23/12/2022,831.96,826.72,831.96,826.72,900.94M,0.70%
22/12/2022,826.18,830.52,831.50,825.23,1.63B,-0.51%
21/12/2022,830.44,822.30,830.44,821.98,1.80B,1.06%
20/12/2022,821.74,823.73,823.73,819.79,2.10B,-0.22%
19/12/2022,823.54,822.71,825.23,822.30,2.19B,0.13%
16/12/2022,822.47,829.70,829.70,820.36,2.74B,-0.72%
15/12/2022,828.45,836.47,836.47,828.45,2.88B,-0.97%
14/12/2022,836.55,838.93,838.93,834.63,2.47B,-0.24%
13/12/2022,838.59,831.46,840.85,828.44,1.86B,0.96%
12/12/2022,830.58,835.02,836.20,830.57,1.64B,-0.48%
09/12/2022,834.59,835.25,837.01,833.25,1.33B,0.02%
08/12/2022,834.41,833.90,836.32,831.55,1.61B,-0.01%
07/12/2022,834.53,840.43,840.43,833.02,1.79B,-0.67%
06/12/2022,840.19,851.35,851.35,838.85,1.79B,-1.24%
05/12/2022,850.72,854.06,854.06,849.64,1.45B,-0.30%
02/12/2022,853.32,851.56,854.98,849.79,1.62B,0.32%
01/12/2022,850.56,848.37,852.87,848.37,2.33B,0.23%
30/11/2022,848.59,845.38,848.59,844.55,1.94B,0.52%
29/11/2022,844.22,850.82,850.82,844.22,1.74B,-0.79%
28/11/2022,850.92,846.89,851.47,844.56,3.04B,0.45%
25/11/2022,847.07,844.92,847.61,843.90,3.32B,0.32%
24/11/2022,844.39,841.58,846.74,841.28,3.12B,0.49%
23/11/2022,840.30,838.27,840.41,835.65,4.38B,0.28%
22/11/2022,837.94,837.75,839.72,835.39,2.49B,0.04%
21/11/2022,837.59,838.21,840.08,836.45,3.14B,-0.08%
18/11/2022,838.25,835.28,838.25,832.47,4.59B,0.40%
17/11/2022,834.93,839.79,839.79,834.59,4.55B,-0.59%
16/11/2022,839.88,849.09,849.83,838.50,2.96B,-1.01%
15/11/2022,848.46,852.04,852.04,847.69,7.12B,-0.36%
14/11/2022,851.55,855.51,856.15,849.51,3.44B,-0.38%
11/11/2022,854.84,843.06,855.27,843.06,2.62B,1.58%
10/11/2022,841.57,826.03,841.57,821.61,2.76B,1.84%
09/11/2022,826.35,831.17,831.17,823.89,5.00B,-0.58%
08/11/2022,831.13,824.54,831.13,823.11,2.52B,0.77%
07/11/2022,824.81,815.16,824.96,815.00,2.99B,1.20%
04/11/2022,815.05,809.85,815.41,809.85,3.55B,0.64%
03/11/2022,809.87,810.62,810.62,805.95,2.63B,-0.26%
02/11/2022,812.02,813.34,816.82,812.02,3.09B,-0.31%
01/11/2022,814.54,807.54,818.34,807.54,3.21B,1.04%
31/10/2022,806.13,804.71,808.11,803.23,3.16B,0.09%
28/10/2022,805.37,808.35,808.35,803.03,2.69B,-0.51%
27/10/2022,809.46,809.19,809.48,805.50,4.47B,-0.03%
26/10/2022,809.67,798.95,809.67,797.74,3.43B,1.28%
25/10/2022,799.44,787.85,799.44,787.85,3.33B,1.51%
24/10/2022,787.55,784.46,788.69,784.33,8.77B,0.27%
21/10/2022,785.40,787.03,787.18,781.02,4.70B,-0.13%
20/10/2022,786.44,785.18,787.02,781.08,7.08B,0.06%
19/10/2022,785.97,793.55,795.12,784.65,2.75B,-1.20%
18/10/2022,795.48,787.44,796.18,787.44,2.33B,0.99%
17/10/2022,787.66,779.25,787.70,778.74,1.80B,1.01%
14/10/2022,779.80,775.77,785.75,775.77,1.83B,0.52%
13/10/2022,775.77,775.61,780.63,767.82,1.85B,-0.06%
12/10/2022,776.27,786.92,788.45,776.27,1.51B,-1.45%
11/10/2022,787.70,799.45,799.45,787.70,1.35B,-1.49%
10/10/2022,799.63,808.92,809.26,799.55,1.87B,-1.31%
07/10/2022,810.22,814.52,817.02,809.68,1.31B,-0.73%
06/10/2022,816.20,816.19,817.56,814.02,1.59B,0.09%
05/10/2022,815.44,818.42,820.34,812.80,1.39B,-0.54%
04/10/2022,819.84,809.23,819.84,809.23,1.65B,1.37%
03/10/2022,808.73,805.55,809.31,801.20,2.50B,0.29%
30/09/2022,806.38,799.45,806.82,798.34,2.26B,1.00%
29/09/2022,798.39,815.00,815.00,798.39,2.77B,-1.92%
28/09/2022,813.98,821.78,821.78,799.79,2.26B,-0.90%
27/09/2022,821.35,829.39,831.52,821.35,2.35B,-0.79%
26/09/2022,827.89,834.15,834.15,825.97,1.91B,-0.68%
23/09/2022,833.59,847.86,847.86,832.58,2.05B,-1.63%
22/09/2022,847.42,854.72,854.72,847.27,1.93B,-0.93%
21/09/2022,855.34,854.29,855.82,851.38,2.53B,0.00%
20/09/2022,855.32,861.96,864.51,853.40,2.74B,-0.92%
16/09/2022,863.28,868.04,868.04,860.66,2.71B,-0.47%
15/09/2022,867.38,868.78,870.74,865.76,2.45B,-0.11%
14/09/2022,868.34,880.78,880.78,866.55,4.22B,-1.40%
13/09/2022,880.65,886.93,889.45,879.66,2.81B,-0.67%
12/09/2022,886.63,880.97,886.63,880.97,3.22B,0.68%
09/09/2022,880.60,872.04,880.60,870.26,2.41B,1.29%
08/09/2022,869.36,865.68,869.42,862.57,3.78B,0.39%
07/09/2022,865.97,865.54,867.05,862.89,2.16B,0.07%
06/09/2022,865.38,860.55,865.78,860.55,3.28B,0.49%
05/09/2022,861.14,865.53,866.95,859.43,3.40B,-0.58%
02/09/2022,866.19,863.12,866.59,859.99,2.25B,0.48%
01/09/2022,862.02,882.55,882.55,861.98,1.53B,-2.35%
31/08/2022,882.73,886.34,889.40,880.54,2.00B,-0.52%
30/08/2022,887.31,895.01,899.16,887.07,1.72B,-1.06%
26/08/2022,896.78,900.27,903.29,896.78,1.47B,-0.44%
25/08/2022,900.76,898.35,903.16,898.35,1.77B,0.24%
24/08/2022,898.62,899.96,900.92,895.39,1.59B,-0.12%
23/08/2022,899.69,906.49,906.55,899.64,1.06B,-0.84%
22/08/2022,907.28,919.95,920.84,907.28,1.52B,-1.40%
19/08/2022,920.17,924.54,924.54,919.91,1.53B,-0.47%
18/08/2022,924.56,925.82,928.01,921.56,1.32B,-0.23%
