"Date","Price","Open","High","Low","Vol.","Change %"
"01/07/2019","127.940","129.800","132.040","126.400","78.89M","-1.07%"
"28/06/2019","129.320","128.880","129.460","128.120","50.03M","0.51%"
"27/06/2019","128.660","126.780","129.180","126.080","65.87M","2.31%"
"26/06/2019","125.760","124.040","126.000","123.300","67.39M","1.22%"
"25/06/2019","124.240","126.000","126.000","123.320","66.96M","-1.58%"
"24/06/2019","126.240","127.520","127.960","126.090","43.52M","-0.52%"
"21/06/2019","126.900","128.700","129.080","126.640","131.26M","-1.12%"
"20/06/2019","128.340","128.100","128.760","126.840","64.27M","0.90%"
"19/06/2019","127.200","128.860","130.710","126.380","77.08M","-1.53%"
"18/06/2019","129.180","127.440","130.100","126.840","93.68M","1.35%"
"17/06/2019","127.460","128.060","128.720","126.620","48.01M","-0.44%"
"14/06/2019","128.020","128.020","128.760","127.770","48.52M","-0.79%"
"13/06/2019","129.040","129.320","131.680","128.820","52.74M","-0.23%"
"12/06/2019","129.340","129.780","130.560","128.960","192.45M","-0.65%"
"11/06/2019","130.180","130.760","131.640","130.150","118.49M","-0.17%"
"10/06/2019","130.400","130.180","130.720","128.920","62.72M","0.38%"
"07/06/2019","129.900","127.820","130.560","127.500","50.85M","1.50%"
"06/06/2019","127.980","129.900","130.440","127.300","55.39M","-3.85%"
"05/06/2019","133.100","133.420","134.480","132.160","81.08M","-0.43%"
"04/06/2019","133.680","129.740","134.340","129.380","97.80M","2.86%"
"03/06/2019","129.960","128.700","129.960","128.420","72.79M","0.42%"
"31/05/2019","129.420","129.220","130.800","129.070","71.17M","-0.40%"
"30/05/2019","129.940","129.330","130.560","129.240","201.87M","0.49%"
"29/05/2019","129.300","126.120","129.800","125.540","83.41M","1.71%"
"28/05/2019","127.120","126.000","127.840","124.980","87.15M","0.81%"
"24/05/2019","126.100","124.580","126.960","124.000","73.80M","2.25%"
"23/05/2019","123.320","124.480","124.780","122.800","76.80M","-1.86%"
"22/05/2019","125.660","126.120","126.440","124.300","97.17M","-0.29%"
"21/05/2019","126.020","126.060","127.320","125.640","64.76M","-0.30%"
"20/05/2019","126.400","123.700","126.520","122.220","113.58M","1.71%"
"17/05/2019","124.280","124.280","124.860","123.190","97.65M","-0.46%"
"16/05/2019","124.860","125.620","126.360","123.900","105.47M","-0.90%"
"15/05/2019","126.000","126.780","127.440","123.860","113.44M","-0.66%"
"14/05/2019","126.840","130.000","136.460","125.120","164.65M","-3.75%"
"13/05/2019","131.780","138.000","138.400","131.300","164.88M","-5.19%"
"10/05/2019","139.000","138.560","139.840","138.330","49.87M","0.36%"
"09/05/2019","138.500","139.700","140.540","138.340","125.40M","-1.14%"
"08/05/2019","140.100","139.600","141.260","139.000","118.79M","0.07%"
"07/05/2019","140.000","138.700","142.760","138.600","79.69M","-0.04%"
"03/05/2019","140.060","141.840","141.840","139.960","44.10M","-0.69%"
"02/05/2019","141.040","141.600","142.960","140.780","68.21M","-0.07%"
"01/05/2019","141.140","142.160","144.500","141.140","155.94M","-0.61%"
"30/04/2019","142.000","142.280","143.480","141.200","178.96M","-0.95%"
"29/04/2019","143.360","141.920","144.140","141.840","52.72M","1.01%"
"26/04/2019","141.920","139.020","142.360","138.780","224.68M","1.65%"
"25/04/2019","139.620","139.580","140.000","138.200","53.62M","-0.17%"
