date,Price,Open,High,Low,Vol.,Change %
03/03/2022,7238.85,7429.56,7468.83,7231.51,1.23B,-2.57%
02/03/2022,7429.56,7330.20,7462.22,7320.77,1.33B,1.36%
01/03/2022,7330.20,7458.25,7499.33,7327.79,1.34B,-1.72%
28/02/2022,7458.25,7489.46,7489.46,7361.59,1.58B,-0.42%
25/02/2022,7489.46,7207.38,7497.94,7207.38,1.37B,3.91%
24/02/2022,7207.38,7498.18,7498.18,7204.74,1.95B,-3.88%
23/02/2022,7498.18,7494.21,7549.98,7490.54,862.65M,0.05%
22/02/2022,7494.21,7484.33,7531.32,7365.04,1.02B,0.13%
21/02/2022,7484.33,7513.62,7571.07,7446.43,622.64M,-0.39%
18/02/2022,7513.62,7537.37,7570.56,7508.73,768.99M,-0.32%
17/02/2022,7537.37,7603.78,7607.24,7499.86,776.93M,-0.87%
16/02/2022,7603.78,7608.92,7630.72,7560.94,1.13B,-0.07%
15/02/2022,7608.92,7531.59,7608.92,7513.16,808.11M,1.03%
14/02/2022,7531.59,7661.02,7661.02,7483.36,925.23M,-1.69%
11/02/2022,7661.02,7672.40,7672.40,7596.11,909.14M,-0.15%
10/02/2022,7672.40,7643.42,7687.27,7622.74,831.34M,0.38%
09/02/2022,7643.42,7567.07,7657.93,7567.07,992.00M,1.01%
08/02/2022,7567.07,7573.47,7631.31,7548.19,804.06M,-0.08%
07/02/2022,7573.47,7516.40,7591.65,7508.48,1.07B,0.76%
04/02/2022,7516.40,7528.84,7599.73,7497.21,883.70M,-0.17%
03/02/2022,7528.84,7583.00,7605.75,7528.69,911.77M,-0.71%
02/02/2022,7583.00,7535.78,7605.64,7535.78,719.79M,0.63%
01/02/2022,7535.78,7464.37,7549.29,7463.01,746.04M,0.96%
31/01/2022,7464.37,7466.07,7523.95,7450.89,760.52M,-0.02%
28/01/2022,7466.07,7554.31,7554.31,7420.20,1.53B,-1.17%
27/01/2022,7554.31,7469.78,7596.70,7388.80,1.01B,1.13%
26/01/2022,7469.78,7371.46,7525.58,7371.46,783.18M,1.33%
25/01/2022,7371.46,7297.15,7382.60,7297.15,851.98M,1.02%
24/01/2022,7297.15,7494.13,7494.13,7283.38,1.29B,-2.63%
21/01/2022,7494.13,7585.01,7585.01,7450.49,818.94M,-1.20%
20/01/2022,7585.01,7589.66,7619.01,7549.87,777.76M,-0.06%
19/01/2022,7589.66,7563.55,7614.93,7525.15,864.60M,0.35%
18/01/2022,7563.55,7611.23,7613.05,7531.96,953.23M,-0.63%
17/01/2022,7611.23,7542.95,7616.06,7542.95,791.22M,0.91%
14/01/2022,7542.95,7563.85,7568.16,7523.02,790.08M,-0.28%
13/01/2022,7563.85,7551.72,7566.46,7530.12,776.33M,0.16%
12/01/2022,7551.72,7491.37,7564.20,7491.37,872.40M,0.81%
11/01/2022,7491.37,7445.25,7497.12,7445.25,725.79M,0.62%
10/01/2022,7445.25,7485.28,7496.12,7422.94,1.05B,-0.53%
07/01/2022,7485.28,7450.37,7485.28,7431.86,705.19M,0.47%
06/01/2022,7450.37,7516.87,7516.87,7419.95,843.73M,-0.88%
05/01/2022,7516.87,7505.15,7529.97,7484.28,707.51M,0.16%
04/01/2022,7505.15,7384.54,7520.79,7384.54,934.18M,1.63%
31/12/2021,7384.54,7403.01,7403.01,7357.10,179.34M,-0.25%
30/12/2021,7403.01,7420.69,7433.39,7403.01,266.40M,-0.24%
29/12/2021,7420.69,7372.10,7457.14,7372.10,445.97M,0.66%
24/12/2021,7372.10,7373.34,7403.65,7368.83,126.01M,-0.02%
23/12/2021,7373.34,7341.66,7385.42,7331.05,422.35M,0.43%
22/12/2021,7341.66,7297.41,7341.66,7273.45,514.77M,0.61%
21/12/2021,7297.41,7198.03,7297.41,7198.03,683.67M,1.38%
20/12/2021,7198.03,7269.92,7269.92,7101.04,925.05M,-0.99%
17/12/2021,7269.92,7260.61,7286.50,7236.17,1.40B,0.13%
16/12/2021,7260.61,7170.75,7273.34,7170.75,1.04B,1.25%
15/12/2021,7170.75,7218.64,7224.85,7166.83,720.99M,-0.66%
14/12/2021,7218.64,7231.44,7284.47,7218.64,662.21M,-0.18%
13/12/2021,7231.44,7291.78,7309.23,7226.63,1.17B,-0.83%
10/12/2021,7291.78,7321.26,7331.58,7284.82,533.84M,-0.40%
09/12/2021,7321.26,7337.05,7366.10,7302.96,615.19M,-0.22%
08/12/2021,7337.05,7339.90,7378.92,7333.56,775.60M,-0.04%
07/12/2021,7339.90,7232.28,7344.69,7232.28,783.61M,1.49%
06/12/2021,7232.28,7122.32,7246.25,7122.32,637.27M,1.54%
03/12/2021,7122.32,7129.21,7196.05,7105.29,867.11M,-0.10%
02/12/2021,7129.21,7168.68,7168.68,7083.21,723.06M,-0.55%
01/12/2021,7168.68,7059.45,7182.01,7059.35,776.70M,1.55%
30/11/2021,7059.45,7109.95,7109.95,6989.66,1.40B,-0.71%
29/11/2021,7109.95,7044.03,7161.91,7044.03,945.04M,0.94%
26/11/2021,7044.03,7310.37,7310.37,7042.12,1.66B,-3.64%
25/11/2021,7310.37,7286.32,7311.94,7286.32,472.10M,0.33%
24/11/2021,7286.32,7266.69,7307.89,7245.98,610.56M,0.27%
23/11/2021,7266.69,7255.46,7293.07,7204.37,624.61M,0.15%
22/11/2021,7255.46,7223.57,7272.63,7207.81,638.19M,0.44%
