Date,Value
18/08/2017,0.31
21/08/2017,0.32
22/08/2017,0.33
23/08/2017,0.34
24/08/2017,0.32
25/08/2017,0.31
29/08/2017,0.31
30/08/2017,0.31
31/08/2017,0.33
01/09/2017,0.32
05/09/2017,0.31
06/09/2017,0.27
07/09/2017,0.29
08/09/2017,0.29
11/09/2017,0.28
12/09/2017,0.30
13/09/2017,0.30
14/09/2017,0.29
15/09/2017,0.29
18/09/2017,0.28
19/09/2017,0.30
20/09/2017,0.30
21/09/2017,0.31
22/09/2017,0.32
25/09/2017,0.29
26/09/2017,0.28
27/09/2017,0.28
28/09/2017,0.29
29/09/2017,0.29
02/10/2017,0.34
03/10/2017,0.29
04/10/2017,0.29
05/10/2017,0.30
06/10/2017,0.30
10/10/2017,0.30
11/10/2017,0.28
12/10/2017,0.29
13/10/2017,0.28
16/10/2017,0.26
17/10/2017,0.29
18/10/2017,0.29
19/10/2017,0.28
20/10/2017,0.27
23/10/2017,0.29
24/10/2017,0.27
25/10/2017,0.27
26/10/2017,0.29
27/10/2017,0.30
30/10/2017,0.28
31/10/2017,0.25
01/11/2017,0.22
02/11/2017,0.24
03/11/2017,0.23
06/11/2017,0.23
07/11/2017,0.20
08/11/2017,0.20
09/11/2017,0.19
10/11/2017,0.20
13/11/2017,0.20
14/11/2017,0.18
15/11/2017,0.19
16/11/2017,0.19
17/11/2017,0.18
20/11/2017,0.17
21/11/2017,0.17
22/11/2017,0.19
24/11/2017,0.21
27/11/2017,0.23
28/11/2017,0.20
29/11/2017,0.21
30/11/2017,0.24
01/12/2017,0.24
04/12/2017,0.23
05/12/2017,0.24
06/12/2017,0.24
07/12/2017,0.27
08/12/2017,0.29
11/12/2017,0.25
12/12/2017,0.25
13/12/2017,0.31
14/12/2017,0.30
15/12/2017,0.32
18/12/2017,0.27
19/12/2017,0.29
20/12/2017,0.30
21/12/2017,0.34
22/12/2017,0.38
27/12/2017,0.27
28/12/2017,0.32
29/12/2017,0.32
02/01/2018,0.28
03/01/2018,0.31
04/01/2018,0.31
05/01/2018,0.33
08/01/2018,0.28
09/01/2018,0.28
10/01/2018,0.31
11/01/2018,0.31
12/01/2018,0.31
16/01/2018,0.30
17/01/2018,0.32
18/01/2018,0.31
19/01/2018,0.32
22/01/2018,0.31
23/01/2018,0.33
24/01/2018,0.34
25/01/2018,0.36
26/01/2018,0.38
29/01/2018,0.34
30/01/2018,0.35
31/01/2018,0.34
01/02/2018,0.33
02/02/2018,0.33
05/02/2018,0.30
06/02/2018,0.29
07/02/2018,0.27
08/02/2018,0.28
09/02/2018,0.29
12/02/2018,0.22
13/02/2018,0.27
14/02/2018,0.29
15/02/2018,0.31
16/02/2018,0.29
20/02/2018,0.26
21/02/2018,0.30
22/02/2018,0.33
23/02/2018,0.35
26/02/2018,0.33
27/02/2018,0.37
28/02/2018,0.39
01/03/2018,0.42
02/03/2018,0.41
05/03/2018,0.36
06/03/2018,0.40
07/03/2018,0.41
08/03/2018,0.43
09/03/2018,0.45
12/03/2018,0.43
13/03/2018,0.42
14/03/2018,0.42
15/03/2018,0.44
16/03/2018,0.45
19/03/2018,0.45
20/03/2018,0.47
21/03/2018,0.56
22/03/2018,0.60
23/03/2018,0.58
26/03/2018,0.53
27/03/2018,0.56
28/03/2018,0.61
29/03/2018,0.61
03/04/2018,0.60
04/04/2018,0.64
05/04/2018,0.64
06/04/2018,0.64
09/04/2018,0.61
10/04/2018,0.63
11/04/2018,0.64
12/04/2018,0.63
13/04/2018,0.62
16/04/2018,0.60
17/04/2018,0.59
18/04/2018,0.58
19/04/2018,0.57
20/04/2018,0.58
23/04/2018,0.52
24/04/2018,0.52
25/04/2018,0.55
26/04/2018,0.57
27/04/2018,0.58
30/04/2018,0.52
01/05/2018,0.53
02/05/2018,0.55
03/05/2018,0.56
04/05/2018,0.57
08/05/2018,0.51
09/05/2018,0.51
10/05/2018,0.49
11/05/2018,0.46
14/05/2018,0.43
15/05/2018,0.43
16/05/2018,0.45
17/05/2018,0.45
18/05/2018,0.46
21/05/2018,0.43
22/05/2018,0.43
23/05/2018,0.45
24/05/2018,0.45
25/05/2018,0.46
29/05/2018,0.41
30/05/2018,0.40
31/05/2018,0.43
01/06/2018,0.44
04/06/2018,0.40
05/06/2018,0.41
06/06/2018,0.41
07/06/2018,0.43
08/06/2018,0.44
11/06/2018,0.42
12/06/2018,0.45
13/06/2018,0.44
14/06/2018,0.43
15/06/2018,0.43
18/06/2018,0.41
19/06/2018,0.42
20/06/2018,0.43
21/06/2018,0.44
22/06/2018,0.45
25/06/2018,0.44
26/06/2018,0.44
27/06/2018,0.44
28/06/2018,0.45
29/06/2018,0.45
02/07/2018,0.39
03/07/2018,0.40
05/07/2018,0.42
06/07/2018,0.40
09/07/2018,0.38
10/07/2018,0.39
11/07/2018,0.41
12/07/2018,0.40
13/07/2018,0.40
16/07/2018,0.35
17/07/2018,0.36
18/07/2018,0.39
19/07/2018,0.39
20/07/2018,0.39
23/07/2018,0.38
24/07/2018,0.35
25/07/2018,0.37
26/07/2018,0.39
27/07/2018,0.38
30/07/2018,0.33
31/07/2018,0.36
01/08/2018,0.36
02/08/2018,0.36
03/08/2018,0.37
06/08/2018,0.32
07/08/2018,0.32
08/08/2018,0.32
09/08/2018,0.32
10/08/2018,0.31
13/08/2018,0.28
14/08/2018,0.28
15/08/2018,0.28
16/08/2018,0.29
17/08/2018,0.30
20/08/2018,0.28
21/08/2018,0.27
22/08/2018,0.26
23/08/2018,0.27
24/08/2018,0.27
28/08/2018,0.22
29/08/2018,0.22
30/08/2018,0.25
31/08/2018,0.25
04/09/2018,0.23
05/09/2018,0.22
06/09/2018,0.24
07/09/2018,0.23
10/09/2018,0.22
11/09/2018,0.22
12/09/2018,0.21
13/09/2018,0.22
14/09/2018,0.22
17/09/2018,0.21
18/09/2018,0.21
19/09/2018,0.23
20/09/2018,0.24
21/09/2018,0.23
24/09/2018,0.19
25/09/2018,0.21
26/09/2018,0.23
27/09/2018,0.26
28/09/2018,0.25
01/10/2018,0.21
02/10/2018,0.22
03/10/2018,0.22
04/10/2018,0.23
05/10/2018,0.23
09/10/2018,0.21
10/10/2018,0.20
11/10/2018,0.22
12/10/2018,0.21
15/10/2018,0.18
16/10/2018,0.18
17/10/2018,0.18
18/10/2018,0.20
19/10/2018,0.22
22/10/2018,0.19
23/10/2018,0.20
24/10/2018,0.22
25/10/2018,0.22
26/10/2018,0.24
29/10/2018,0.23
30/10/2018,0.25
31/10/2018,0.27
01/11/2018,0.31
02/11/2018,0.31
05/11/2018,0.27
06/11/2018,0.28
07/11/2018,0.28
08/11/2018,0.31
09/11/2018,0.31
13/11/2018,0.28
14/11/2018,0.30
15/11/2018,0.32
16/11/2018,0.33
19/11/2018,0.31
20/11/2018,0.31
21/11/2018,0.32
23/11/2018,0.33
26/11/2018,0.34
27/11/2018,0.35
28/11/2018,0.36
29/11/2018,0.42
30/11/2018,0.42
03/12/2018,0.41
04/12/2018,0.36
06/12/2018,0.41
07/12/2018,0.42
10/12/2018,0.41
11/12/2018,0.41
12/12/2018,0.39
13/12/2018,0.41
14/12/2018,0.43
17/12/2018,0.44
18/12/2018,0.45
19/12/2018,0.44
20/12/2018,0.48
21/12/2018,0.48
24/12/2018,0.40
27/12/2018,0.44
28/12/2018,0.45
31/12/2018,0.41
02/01/2019,0.42
03/01/2019,0.44
04/01/2019,0.43
07/01/2019,0.39
08/01/2019,0.37
09/01/2019,0.40
10/01/2019,0.42
11/01/2019,0.41
14/01/2019,0.38
15/01/2019,0.37
16/01/2019,0.40
17/01/2019,0.41
18/01/2019,0.40
22/01/2019,0.40
23/01/2019,0.41
24/01/2019,0.44
25/01/2019,0.41
28/01/2019,0.38
29/01/2019,0.37
30/01/2019,0.37
31/01/2019,0.38
01/02/2019,0.38
04/02/2019,0.36
05/02/2019,0.37
06/02/2019,0.37
07/02/2019,0.33
08/02/2019,0.32
11/02/2019,0.29
12/02/2019,0.31
13/02/2019,0.29
14/02/2019,0.31
15/02/2019,0.30
19/02/2019,0.23
20/02/2019,0.26
21/02/2019,0.25
22/02/2019,0.24
25/02/2019,0.22
26/02/2019,0.23
27/02/2019,0.23
28/02/2019,0.22
01/03/2019,0.21
04/03/2019,0.20
05/03/2019,0.20
06/03/2019,0.18
07/03/2019,0.20
08/03/2019,0.19
11/03/2019,0.20
12/03/2019,0.18
13/03/2019,0.21
14/03/2019,0.21
15/03/2019,0.23
18/03/2019,0.24
19/03/2019,0.20
20/03/2019,0.19
21/03/2019,0.17
22/03/2019,0.20
25/03/2019,0.20
26/03/2019,0.19
27/03/2019,0.21
28/03/2019,0.21
29/03/2019,0.25
01/04/2019,0.22
02/04/2019,0.23
03/04/2019,0.21
04/04/2019,0.20
05/04/2019,0.20
08/04/2019,0.20
09/04/2019,0.21
10/04/2019,0.22
11/04/2019,0.22
12/04/2019,0.21
15/04/2019,0.21
16/04/2019,0.22
17/04/2019,0.20
18/04/2019,0.21
23/04/2019,0.18
24/04/2019,0.20
25/04/2019,0.20
26/04/2019,0.21
29/04/2019,0.19
30/04/2019,0.20
01/05/2019,0.20
02/05/2019,0.16
