"Date","Price","Open","High","Low","Vol.","Change %"
"21/01/2019","287.57","289.42","291.12","286.99","16.20M","-0.57%"
"18/01/2019","289.22","285.44","293.69","284.83","44.49M","2.58%"
"17/01/2019","281.94","280.72","283.35","278.91","29.31M","0.82%"
"16/01/2019","279.66","286.41","287.77","279.66","37.52M","-1.32%"
"15/01/2019","283.40","286.50","290.05","282.18","27.81M","0.16%"
"14/01/2019","282.96","284.12","286.55","280.29","23.84M","-1.47%"
"11/01/2019","287.18","287.62","291.31","283.28","34.97M","0.17%"
"10/01/2019","286.70","286.36","286.84","279.61","25.10M","0.68%"
"09/01/2019","284.76","285.58","291.12","284.27","41.91M","1.47%"
"08/01/2019","280.63","277.23","284.12","275.58","25.93M","0.54%"
"07/01/2019","279.12","280.82","282.23","276.60","30.21M","1.11%"
"04/01/2019","276.06","267.66","277.32","264.94","43.30M","5.63%"
"03/01/2019","261.35","271.69","273.05","260.71","54.48M","-4.76%"
"02/01/2019","274.41","274.56","276.58","268.29","44.59M","-3.04%"
"31/12/2018","283.01","284.85","285.63","282.04","10.35M","0.47%"
"28/12/2018","281.70","277.32","284.76","276.74","25.14M","2.78%"
"27/12/2018","274.07","283.93","285.73","270.77","26.98M","-1.93%"
"24/12/2018","279.46","272.90","283.06","272.90","10.96M","0.17%"
"21/12/2018","278.98","278.05","281.94","276.35","65.11M","0.88%"
"20/12/2018","276.55","279.12","281.94","276.44","41.98M","-3.29%"
"19/12/2018","285.97","272.90","287.67","272.90","38.28M","2.15%"
"18/12/2018","279.95","281.26","285.24","279.56","32.48M","-1.62%"
"17/12/2018","284.56","281.65","286.50","281.45","26.59M","1.14%"
"14/12/2018","281.36","281.11","285.10","276.60","36.18M","-1.86%"
"13/12/2018","286.70","285.73","290.87","284.22","52.24M","1.24%"
"12/12/2018","283.20","276.79","284.85","274.85","198.55M","2.77%"
"11/12/2018","275.58","269.55","278.98","268.63","34.71M","3.35%"
"10/12/2018","266.64","267.12","271.40","265.22","31.58M","-1.75%"
"07/12/2018","271.40","266.69","278.10","265.57","55.14M","3.14%"
"06/12/2018","263.14","270.86","277.32","260.67","61.48M","-5.11%"
"05/12/2018","277.32","285.63","286.02","277.03","32.38M","-3.87%"
"04/12/2018","288.49","291.41","292.91","285.63","41.51M","-1.27%"
"03/12/2018","292.19","305.98","305.98","288.35","58.79M","3.67%"
"30/11/2018","281.84","285.19","285.92","279.32","46.04M","-1.07%"
"29/11/2018","284.90","284.37","288.83","283.59","36.11M","2.43%"
"28/11/2018","278.15","275.62","281.99","275.38","32.13M","1.33%"
"27/11/2018","274.51","275.82","278.00","273.05","29.20M","-1.45%"
"26/11/2018","278.54","274.90","279.66","274.17","31.32M","2.21%"
"23/11/2018","272.52","280.38","282.52","271.45","37.81M","-3.47%"
"22/11/2018","282.33","286.50","286.55","279.61","25.86M","-1.82%"
"21/11/2018","287.57","288.74","290.80","285.14","40.59M","0.05%"
"20/11/2018","287.43","289.27","292.04","282.91","35.27M","-1.58%"
"19/11/2018","292.04","291.94","294.32","290.83","29.65M","1.06%"
"16/11/2018","288.98","295.25","296.56","286.94","42.04M","-0.12%"
"15/11/2018","289.32","288.59","291.60","283.25","47.84M","2.14%"
"14/11/2018","283.25","283.44","288.25","278.93","52.15M","-1.07%"
"13/11/2018","286.31","291.12","294.08","282.67","50.13M","-0.76%"
"12/11/2018","288.49","302.14","303.65","288.25","49.28M","-2.27%"
"09/11/2018","295.20","304.52","305.01","293.74","44.14M","-4.43%"
"08/11/2018","308.89","308.31","310.66","307.05","35.32M","0.57%"
"07/11/2018","307.15","306.03","311.23","304.91","29.76M","1.38%"
"06/11/2018","302.97","312.00","314.28","301.66","32.71M","-2.88%"
"05/11/2018","311.95","311.81","316.03","309.42","28.49M","0.36%"
"02/11/2018","310.84","328.42","332.06","310.84","63.51M","-2.53%"
"01/11/2018","318.90","309.72","320.40","308.55","53.70M","2.96%"
"31/10/2018","309.72","301.46","314.09","301.32","63.65M","4.73%"
"30/10/2018","295.73","299.67","304.09","295.73","57.34M","-1.22%"
"29/10/2018","299.37","294.61","305.35","294.27","34.97M","1.88%"
"26/10/2018","293.84","288.40","293.84","285.34","38.14M","-0.12%"
"25/10/2018","294.18","286.07","298.79","285.10","42.52M","1.66%"
"24/10/2018","289.37","294.95","296.51","287.67","37.86M","-0.62%"
"23/10/2018","291.17","297.92","300.55","286.70","51.06M","-3.51%"
"22/10/2018","301.75","305.11","309.48","300.98","25.48M","0.74%"
"19/10/2018","299.52","303.79","307.10","299.52","36.00M","-0.51%"
"18/10/2018","301.07","302.97","306.37","299.42","34.92M","-1.62%"
"17/10/2018","306.03","308.80","312.73","303.31","36.68M","0.08%"
"16/10/2018","305.79","306.56","309.52","303.21","31.42M","-1.21%"
"15/10/2018","309.52","304.28","309.57","301.12","29.17M","1.61%"
"12/10/2018","304.62","306.42","311.95","304.22","41.94M","0.75%"
"11/10/2018","302.34","296.61","305.69","292.91","58.10M","-0.19%"
"10/10/2018","302.92","315.98","316.99","302.92","40.51M","-4.38%"
"09/10/2018","316.81","315.74","319.92","313.46","36.77M","1.38%"
"08/10/2018","312.49","314.14","318.07","312.29","37.69M","-1.01%"
"05/10/2018","315.69","320.50","320.55","313.12","42.99M","-2.40%"
"04/10/2018","323.46","324.10","329.92","323.03","38.70M","-0.17%"
"03/10/2018","324.00","327.40","329.54","322.47","32.18M","-0.80%"
"02/10/2018","326.62","321.04","327.93","319.38","64.82M","1.30%"
"01/10/2018","322.44","321.72","325.80","318.75","31.75M","0.07%"
"28/09/2018","322.20","323.12","325.60","316.28","40.95M","0.32%"
"27/09/2018","321.18","326.33","326.86","319.82","40.34M","-2.17%"
"26/09/2018","328.32","330.26","332.01","326.96","32.96M","-1.02%"
"25/09/2018","331.72","325.50","332.28","324.45","55.10M","3.48%"
"24/09/2018","320.55","320.02","325.31","319.09","36.06M","-2.02%"
"21/09/2018","327.16","321.86","327.64","318.22","93.20M","4.69%"
"20/09/2018","312.49","310.79","314.72","310.01","63.27M","0.66%"
"19/09/2018","310.45","304.43","314.53","303.26","52.80M","3.53%"
"18/09/2018","299.86","293.35","301.51","292.04","64.82M","2.78%"
"17/09/2018","291.75","289.47","292.91","286.31","81.40M","-0.40%"
"14/09/2018","292.91","292.82","295.83","291.75","33.20M","0.68%"
"13/09/2018","290.92","288.40","292.72","287.33","41.20M","1.49%"
"12/09/2018","286.65","279.46","288.93","278.34","45.12M","2.86%"
"11/09/2018","278.68","281.79","283.98","276.23","45.38M","-1.32%"
"10/09/2018","282.42","285.53","286.16","281.11","46.58M","-1.76%"
"07/09/2018","287.47","296.27","296.97","286.41","51.02M","-2.68%"
"06/09/2018","295.39","296.70","303.81","293.74","28.42M","-2.56%"
"05/09/2018","303.16","299.67","308.17","299.08","37.19M","0.35%"
"04/09/2018","302.09","307.92","313.65","298.65","66.94M","-1.82%"
"03/09/2018","307.68","305.59","309.52","304.43","19.59M","1.02%"
"31/08/2018","304.57","310.79","323.37","304.57","44.75M","-2.89%"
"30/08/2018","313.65","312.88","316.62","309.09","26.59M","-0.60%"
"29/08/2018","315.55","317.49","319.48","313.85","26.06M","-0.78%"
"28/08/2018","318.02","315.69","321.33","314.13","47.44M","2.07%"
"24/08/2018","311.56","301.90","312.70","301.80","41.23M","3.30%"
"23/08/2018","301.61","298.21","302.87","297.14","43.53M","0.81%"
"22/08/2018","299.18","296.56","302.39","294.37","44.90M","0.39%"
"21/08/2018","298.01","299.33","300.64","295.68","36.62M","0.24%"
"20/08/2018","297.29","300.83","305.49","297.29","30.38M","0.34%"
"17/08/2018","296.27","297.14","299.67","290.92","42.45M","0.05%"
"16/08/2018","296.12","296.27","299.28","293.98","46.14M","2.13%"
"15/08/2018","289.95","305.25","325.41","289.03","85.05M","-5.66%"
"14/08/2018","307.34","311.22","312.34","303.11","38.06M","-0.78%"
"13/08/2018","309.77","310.11","313.12","306.34","28.74M","-0.70%"
"10/08/2018","311.95","316.91","317.96","310.88","39.86M","-2.74%"
"09/08/2018","320.74","320.55","322.59","317.00","33.74M","1.12%"
"08/08/2018","317.20","307.92","318.07","305.98","36.68M","0.08%"
"07/08/2018","316.96","315.69","317.98","308.02","41.54M","3.92%"
"06/08/2018","305.01","307.83","308.70","302.14","47.54M","-1.29%"
"03/08/2018","308.99","304.09","312.34","302.68","32.70M","1.64%"
"02/08/2018","303.99","309.52","311.81","298.21","57.07M","-2.76%"
"01/08/2018","312.63","318.46","321.13","312.00","52.70M","-3.78%"
"31/07/2018","324.92","312.78","328.13","312.49","41.66M","2.94%"
"30/07/2018","315.64","313.17","316.66","311.66","25.71M","-0.32%"
"27/07/2018","316.66","315.06","321.42","314.96","33.09M","0.85%"
"26/07/2018","313.99","316.08","326.38","312.78","27.90M","-0.23%"
"25/07/2018","314.72","315.64","316.42","300.93","41.23M","-1.04%"
"24/07/2018","318.02","304.04","321.91","303.45","67.47M","5.61%"
"23/07/2018","301.12","300.93","303.55","299.18","35.22M","-0.53%"
"20/07/2018","302.73","307.39","312.63","300.39","44.65M","-1.61%"
"19/07/2018","307.68","308.89","310.69","302.73","49.00M","-0.55%"
"18/07/2018","309.38","303.75","309.38","300.25","48.05M","1.73%"
"17/07/2018","304.13","301.71","307.24","298.79","47.50M","1.29%"
"16/07/2018","300.25","304.67","304.67","297.77","33.56M","-1.25%"
"13/07/2018","304.04","309.18","309.18","298.69","37.62M","-0.32%"
"12/07/2018","305.01","303.94","309.18","302.43","41.76M","0.92%"
"11/07/2018","302.24","307.73","310.25","301.46","77.49M","-4.83%"
"10/07/2018","317.59","327.50","327.50","317.59","43.60M","-2.48%"
"09/07/2018","325.65","326.72","329.00","319.43","31.97M","1.92%"
"06/07/2018","319.53","318.80","323.46","314.33","46.08M","0.87%"
"05/07/2018","316.76","312.88","325.02","310.30","61.43M","2.08%"
"04/07/2018","310.30","310.11","315.01","302.14","40.04M","-0.48%"
"03/07/2018","311.81","344.83","346.87","294.32","178.23M","-8.10%"
"02/07/2018","339.30","345.17","347.75","338.96","40.95M","-3.51%"
"29/06/2018","351.63","357.12","361.69","349.30","36.96M","0.89%"
"28/06/2018","348.53","356.49","359.02","345.17","55.05M","-2.80%"
"27/06/2018","358.58","357.61","365.67","350.95","44.15M","0.52%"
"26/06/2018","356.73","357.22","361.98","351.88","40.55M","-0.47%"
"25/06/2018","358.43","372.42","374.80","357.51","37.48M","-4.69%"
"22/06/2018","376.06","363.10","376.89","363.10","43.08M","4.18%"
"21/06/2018","360.96","366.25","368.24","359.60","38.34M","-0.75%"
"20/06/2018","363.68","364.26","375.67","361.06","49.35M","0.73%"
"19/06/2018","361.06","361.25","364.26","356.68","61.06M","-2.32%"
"18/06/2018","369.65","370.58","372.76","364.07","35.87M","-0.20%"
"15/06/2018","370.38","388.69","393.74","369.51","95.17M","-4.32%"
"14/06/2018","387.09","381.84","388.35","377.28","49.73M","0.13%"
"13/06/2018","386.60","380.19","387.33","374.80","56.70M","3.75%"
"12/06/2018","372.61","377.71","380.58","369.02","32.37M","-1.39%"
"11/06/2018","377.86","375.19","380.87","371.98","32.87M","1.34%"
"08/06/2018","372.86","377.57","379.80","372.08","41.79M","-2.59%"
"07/06/2018","382.77","392.14","398.06","382.09","53.62M","-1.58%"
"06/06/2018","388.93","379.95","388.93","378.54","56.16M","2.74%"
"05/06/2018","378.54","369.70","379.80","368.88","31.77M","1.79%"
"04/06/2018","371.89","371.69","375.53","370.38","22.04M","0.41%"
"01/06/2018","370.38","364.21","373.78","361.40","43.62M","2.48%"
"31/05/2018","361.40","364.31","368.20","358.29","100.18M","-0.04%"
"30/05/2018","361.54","358.34","361.54","353.09","34.32M","0.36%"
"29/05/2018","360.23","362.71","366.98","357.61","46.22M","-1.76%"
"25/05/2018","366.69","367.56","368.29","363.29","32.32M","0.24%"
"24/05/2018","365.82","372.28","373.78","361.93","37.70M","-1.67%"
"23/05/2018","372.03","374.95","375.19","367.13","46.84M","-1.75%"
"22/05/2018","378.64","374.70","382.43","374.41","41.44M","0.54%"
"21/05/2018","376.60","368.44","377.42","364.80","39.52M","1.93%"
"18/05/2018","369.46","385.63","387.43","352.80","83.40M","-4.40%"
"17/05/2018","386.46","381.79","387.62","378.68","35.98M","1.22%"
"16/05/2018","381.79","369.22","383.59","368.44","54.76M","3.62%"
"15/05/2018","368.44","368.54","373.39","363.00","37.89M","-1.53%"
"14/05/2018","374.17","375.77","377.18","372.86","25.98M","-0.23%"
"11/05/2018","375.04","366.84","375.64","366.20","49.21M","2.63%"
"10/05/2018","365.43","357.46","365.86","356.30","28.99M","2.55%"
"09/05/2018","356.34","349.69","357.22","346.63","49.16M","2.10%"
"08/05/2018","349.01","356.20","356.20","346.41","40.85M","-0.19%"
"04/05/2018","349.69","351.73","356.54","346.24","34.84M","0.19%"
"03/05/2018","349.01","349.69","355.42","348.09","29.75M","0.39%"
"02/05/2018","347.65","345.81","349.69","343.98","38.32M","3.16%"
"01/05/2018","337.01","338.03","341.67","335.22","26.68M","-1.07%"
"30/04/2018","340.66","347.75","350.13","340.66","52.63M","-4.96%"
"27/04/2018","358.43","359.40","360.28","354.16","29.11M","-0.28%"
"26/04/2018","359.45","359.89","367.86","356.83","52.90M","-1.90%"
"25/04/2018","366.40","369.12","372.42","361.74","50.14M","-2.25%"
"24/04/2018","374.85","366.93","376.35","366.93","44.45M","1.47%"
"23/04/2018","369.41","368.97","373.05","361.06","43.52M","-0.09%"
"20/04/2018","369.75","367.27","371.06","365.62","55.76M","0.70%"
"19/04/2018","367.18","367.66","368.63","362.22","70.00M","1.04%"
"18/04/2018","363.39","340.66","364.07","340.56","75.85M","7.66%"
"17/04/2018","337.55","335.80","339.44","333.32","36.27M","1.42%"
"16/04/2018","332.84","336.09","339.17","332.84","45.51M","-0.91%"
"13/04/2018","335.90","335.80","338.13","332.59","31.09M","0.98%"
"12/04/2018","332.64","332.93","333.08","327.01","32.93M","0.02%"
"11/04/2018","332.59","335.61","351.20","330.07","45.75M","-1.19%"
"10/04/2018","336.58","343.81","344.45","333.86","71.72M","2.17%"
"09/04/2018","329.44","336.77","337.35","320.50","91.94M","-3.42%"
"06/04/2018","341.09","346.58","347.46","340.03","37.28M","-2.12%"
"05/04/2018","348.48","343.57","354.35","343.28","55.53M","3.99%"
"04/04/2018","335.12","345.08","349.21","334.81","61.25M","-3.16%"
"03/04/2018","346.05","343.91","349.30","342.16","39.87M","0.69%"
"29/03/2018","343.67","344.64","349.61","342.89","62.99M","0.18%"
"28/03/2018","343.04","349.11","350.66","340.03","47.31M","-2.85%"
"27/03/2018","353.09","351.20","357.02","349.25","43.27M","3.18%"
"26/03/2018","342.21","346.05","349.30","339.69","40.47M","-1.73%"
"23/03/2018","348.23","344.06","349.64","338.91","59.74M","-0.19%"
"22/03/2018","348.91","359.40","364.50","341.43","53.68M","-3.22%"
"21/03/2018","360.52","357.17","365.18","350.37","56.84M","0.79%"
"20/03/2018","357.70","359.40","363.29","355.37","58.04M","-0.27%"
"19/03/2018","358.68","371.84","372.03","357.66","34.84M","-4.21%"
"16/03/2018","374.46","367.76","376.69","366.74","58.05M","1.68%"
"15/03/2018","368.29","372.57","376.89","366.93","51.16M","-1.15%"
"14/03/2018","372.57","370.28","376.55","368.63","49.75M","1.82%"
"13/03/2018","365.91","356.73","376.89","356.73","47.06M","2.07%"
"12/03/2018","358.48","360.38","362.51","355.52","38.76M","-0.20%"
"09/03/2018","359.21","351.29","359.94","349.11","36.11M","1.79%"
"08/03/2018","352.90","356.00","356.83","350.61","38.06M","-1.10%"
"07/03/2018","356.83","355.76","359.45","346.34","57.40M","-0.29%"
"06/03/2018","357.85","357.46","362.27","355.71","47.97M","0.99%"
"05/03/2018","354.35","352.56","358.34","349.21","42.93M","0.08%"
"02/03/2018","354.06","362.12","363.29","353.77","56.93M","-3.02%"
"01/03/2018","365.09","375.92","376.89","361.83","45.33M","-2.72%"
"28/02/2018","375.29","380.77","382.23","375.04","38.66M","-2.56%"
"27/02/2018","385.15","390.63","391.75","383.35","39.48M","-1.22%"
"26/02/2018","389.91","389.66","391.12","387.23","33.22M","1.30%"
"23/02/2018","384.90","391.27","393.40","382.52","45.42M","-1.50%"
"22/02/2018","390.78","389.52","392.33","383.88","46.82M","-0.56%"
"21/02/2018","392.97","380.29","395.34","373.97","66.45M","5.24%"
"20/02/2018","373.39","378.83","378.83","370.82","26.20M","0.16%"
"19/02/2018","372.81","376.45","379.46","372.52","19.88M","-1.08%"
"16/02/2018","376.89","379.66","381.26","373.68","32.87M","0.00%"
"15/02/2018","376.89","377.33","385.24","373.54","48.60M","1.46%"
