Date,ADS Index,,,,,,
2017-10-17,0.625013,,,,,,
2017-10-18,0.627422,,,,,,
2017-10-19,0.628969,,,,,,
2017-10-20,0.629652,,,,,,
2017-10-21,0.629473,,,,,,
2017-10-22,0.628432,,,,,,
2017-10-23,0.626266,,,,,,
2017-10-24,0.622973,,,,,,
2017-10-25,0.618553,,,,,,
2017-10-26,0.613003,,,,,,
2017-10-27,0.606322,,,,,,
2017-10-28,0.598507,,,,,,
2017-10-29,0.589555,,,,,,
2017-10-30,0.579769,,,,,,
2017-10-31,0.569146,,,,,,
2017-11-01,0.557681,,,,,,
2017-11-02,0.546677,,,,,,
2017-11-03,0.536131,,,,,,
2017-11-04,0.526038,,,,,,
2017-11-05,0.516394,,,,,,
2017-11-06,0.507152,,,,,,
2017-11-07,0.498307,,,,,,
2017-11-08,0.489856,,,,,,
2017-11-09,0.481796,,,,,,
2017-11-10,0.474124,,,,,,
2017-11-11,0.466837,,,,,,
2017-11-12,0.459932,,,,,,
2017-11-13,0.452781,,,,,,
2017-11-14,0.44538,,,,,,
2017-11-15,0.437727,,,,,,
2017-11-16,0.429818,,,,,,
2017-11-17,0.421652,,,,,,
2017-11-18,0.413224,,,,,,
2017-11-19,0.404532,,,,,,
2017-11-20,0.395779,,,,,,
2017-11-21,0.386963,,,,,,
2017-11-22,0.37808,,,,,,
2017-11-23,0.369126,,,,,,
2017-11-24,0.360098,,,,,,
2017-11-25,0.350993,,,,,,
2017-11-26,0.341808,,,,,,
2017-11-27,0.332571,,,,,,
2017-11-28,0.323281,,,,,,
2017-11-29,0.313932,,,,,,
2017-11-30,0.304523,,,,,,
2017-12-01,0.295049,,,,,,
2017-12-02,0.285019,,,,,,
2017-12-03,0.274431,,,,,,
2017-12-04,0.26282,,,,,,
2017-12-05,0.250182,,,,,,
2017-12-06,0.236513,,,,,,
2017-12-07,0.221807,,,,,,
2017-12-08,0.206059,,,,,,
2017-12-09,0.189262,,,,,,
2017-12-10,0.17141,,,,,,
2017-12-11,0.153677,,,,,,
2017-12-12,0.136057,,,,,,
2017-12-13,0.118543,,,,,,
2017-12-14,0.101129,,,,,,
2017-12-15,0.0838064,,,,,,
2017-12-16,0.0665699,,,,,,
2017-12-17,0.0494127,,,,,,
2017-12-18,0.031973,,,,,,
2017-12-19,0.0142441,,,,,,
2017-12-20,-0.00378077,,,,,,
2017-12-21,-0.0221086,,,,,,
2017-12-22,-0.0407463,,,,,,
2017-12-23,-0.0597013,,,,,,
2017-12-24,-0.0789807,,,,,,
2017-12-25,-0.0990477,,,,,,
2017-12-26,-0.11991,,,,,,
2017-12-27,-0.141576,,,,,,
2017-12-28,-0.164053,,,,,,
2017-12-29,-0.187351,,,,,,
2017-12-30,-0.211477,,,,,,
2017-12-31,-0.236443,,,,,,
2018-01-01,-0.261965,,,,,,
2018-01-02,-0.285297,,,,,,
2018-01-03,-0.306446,,,,,,
2018-01-04,-0.325422,,,,,,
2018-01-05,-0.342231,,,,,,
2018-01-06,-0.356881,,,,,,
2018-01-07,-0.369376,,,,,,
2018-01-08,-0.380893,,,,,,
2018-01-09,-0.391435,,,,,,
2018-01-10,-0.401006,,,,,,
2018-01-11,-0.409611,,,,,,
2018-01-12,-0.417253,,,,,,
2018-01-13,-0.423935,,,,,,
2018-01-14,-0.429658,,,,,,
2018-01-15,-0.433426,,,,,,
2018-01-16,-0.435239,,,,,,
2018-01-17,-0.435098,,,,,,
2018-01-18,-0.433003,,,,,,
2018-01-19,-0.428953,,,,,,
2018-01-20,-0.422947,,,,,,
2018-01-21,-0.414983,,,,,,
2018-01-22,-0.405228,,,,,,
2018-01-23,-0.393679,,,,,,
2018-01-24,-0.380333,,,,,,
2018-01-25,-0.365182,,,,,,
2018-01-26,-0.348223,,,,,,
